workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,gender,error.y,trial
1105,default,block1,mia,ai,0.97,4626,announce,25,announce,C,NA,default,26,Yes,Female,NA,21
1105,default,block1,emily,ai,0.29,13747,be_annoyed,26,be_annoyed,C,NA,default,26,Yes,Female,NA,22
1105,default,block1,muffins,ai,0.03,7248,MC,27,MC,MC,NA,default,26,Yes,Female,NA,23
1105,default,block1,jackson,ai,1,8540,hear,28,hear,C,NA,default,26,Yes,Female,NA,24
1105,default,block1,danny,ai,0.18,10326,prove,29,prove,C,NA,default,26,Yes,Female,NA,25
1105,default,block1,mary,ai,0.51,7967,reveal,30,reveal,C,NA,default,26,Yes,Female,NA,26
1105,default,block2,kids,projective,0.98,12343,MC,32,MC,MC,NA,default,26,Yes,Female,NA,27
1105,default,block2,zoe,projective,0.02,6851,suggest,33,suggest,C,NA,default,26,Yes,Female,NA,28
1105,default,block2,ballet,projective,1,7471,MC,34,MC,MC,NA,default,26,Yes,Female,NA,29
1105,default,block2,jayden,projective,0.02,7417,admit,35,admit,C,NA,default,26,Yes,Female,NA,30
1105,default,block2,owen,projective,0,19669,be_right,36,be_right,C,NA,default,26,Yes,Female,NA,31
1105,default,block2,isabella,projective,0.84,9461,pretend,37,pretend,C,NA,default,26,Yes,Female,NA,32
1105,default,block2,julian,projective,0.62,6323,know,38,know,C,NA,default,26,Yes,Female,NA,33
1105,default,block2,mia,projective,0.56,6841,announce,39,announce,C,NA,default,26,Yes,Female,NA,34
1105,default,block2,mary,projective,0.56,4108,reveal,40,reveal,C,NA,default,26,Yes,Female,NA,35
1105,default,block2,danny,projective,0.55,4872,prove,41,prove,C,NA,default,26,Yes,Female,NA,36
1105,default,block2,charley,projective,0.8,6919,discover,42,discover,C,NA,default,26,Yes,Female,NA,37
1105,default,block2,jackson,projective,0.68,5096,hear,43,hear,C,NA,default,26,Yes,Female,NA,38
1105,default,block2,josh,projective,0.7,4087,confirm,44,confirm,C,NA,default,26,Yes,Female,NA,39
1105,default,block2,pizza,projective,1,5006,MC,45,MC,MC,NA,default,26,Yes,Female,NA,40
1105,default,block2,emily,projective,1,6332,be_annoyed,46,be_annoyed,C,NA,default,26,Yes,Female,NA,41
1105,default,block2,muffins,projective,1,4525,MC,47,MC,MC,NA,default,26,Yes,Female,NA,42
1105,default,block2,frank,projective,1,4758,acknowledge,48,acknowledge,C,NA,default,26,Yes,Female,NA,43
1105,default,block2,emma,projective,0.74,7870,confess,49,confess,C,NA,default,26,Yes,Female,NA,44
1105,default,block2,hat,projective,0.98,3462,MC,50,MC,MC,NA,default,26,Yes,Female,NA,45
1105,default,block2,sophia,projective,1,3916,see,51,see,C,NA,default,26,Yes,Female,NA,46
1105,default,block2,olivia,projective,0.74,3781,say,52,say,C,NA,default,26,Yes,Female,NA,47
1105,default,block2,jon,projective,0.71,4938,demonstrate,53,demonstrate,C,NA,default,26,Yes,Female,NA,48
1105,default,block2,tony,projective,0.81,5109,inform,54,inform,C,NA,default,26,Yes,Female,NA,49
1105,default,block2,grace,projective,0.63,5121,think,55,think,C,NA,default,26,Yes,Female,NA,50
1105,default,block2,garage,projective,1,4017,MC,56,MC,MC,NA,default,26,Yes,Female,NA,51
1105,default,block2,josie,projective,0.68,10498,establish,57,establish,C,NA,default,26,Yes,Female,NA,52
1107,default,block1,emily,projective,0.82,1615,announce,5,announce,C,NA,default,50,Yes,Male,NA,1
1107,default,block1,pizza,projective,0.8,1272,MC,6,MC,MC,NA,default,50,Yes,Male,NA,2
1107,default,block1,jon,projective,0.07,1591,inform,7,inform,C,NA,default,50,Yes,Male,NA,3
1107,default,block1,frank,projective,0.83,1208,prove,8,prove,C,NA,default,50,Yes,Male,NA,4
1107,default,block1,mary,projective,0.79,1184,demonstrate,9,demonstrate,C,NA,default,50,Yes,Male,NA,5
1107,default,block1,josie,projective,0.82,1159,suggest,10,suggest,C,NA,default,50,Yes,Male,NA,6
1107,default,block1,zoe,projective,0.1,1632,confess,11,confess,C,NA,default,50,Yes,Male,NA,7
1107,default,block1,kids,projective,0.87,1448,MC,12,MC,MC,NA,default,50,Yes,Male,NA,8
1107,default,block1,ballet,projective,0.81,1080,MC,13,MC,MC,NA,default,50,Yes,Male,NA,9
1107,default,block1,sophia,projective,0.83,1056,be_annoyed,14,be_annoyed,C,NA,default,50,Yes,Male,NA,10
1107,default,block1,jackson,projective,0.8,1192,hear,15,hear,C,NA,default,50,Yes,Male,NA,11
1107,default,block1,danny,projective,0.14,1104,establish,16,establish,C,NA,default,50,Yes,Male,NA,12
1107,default,block1,emma,projective,0.88,1608,confirm,17,confirm,C,NA,default,50,Yes,Male,NA,13
1107,default,block1,julian,projective,0.85,3040,admit,18,admit,C,NA,default,50,Yes,Male,NA,14
1107,default,block1,muffins,projective,0.89,3511,MC,19,MC,MC,NA,default,50,Yes,Male,NA,15
1107,default,block1,olivia,projective,0.85,1143,pretend,20,pretend,C,NA,default,50,Yes,Male,NA,16
1107,default,block1,mia,projective,0.85,1048,see,21,see,C,NA,default,50,Yes,Male,NA,17
1107,default,block1,josh,projective,0.07,1288,think,22,think,C,NA,default,50,Yes,Male,NA,18
1107,default,block1,garage,projective,0.86,1368,MC,23,MC,MC,NA,default,50,Yes,Male,NA,19
1107,default,block1,jayden,projective,0.82,1072,acknowledge,24,acknowledge,C,NA,default,50,Yes,Male,NA,20
1107,default,block1,hat,projective,0.13,1208,MC,25,MC,MC,NA,default,50,Yes,Male,NA,21
1107,default,block1,owen,projective,0.84,1960,reveal,26,reveal,C,NA,default,50,Yes,Male,NA,22
1107,default,block1,charley,projective,0.83,1000,know,27,know,C,NA,default,50,Yes,Male,NA,23
1107,default,block1,grace,projective,0.81,1120,discover,28,discover,C,NA,default,50,Yes,Male,NA,24
1107,default,block1,tony,projective,0.16,1104,say,29,say,C,NA,default,50,Yes,Male,NA,25
1107,default,block1,isabella,projective,0.14,1511,be_right,30,be_right,C,NA,default,50,Yes,Male,NA,26
1107,default,block2,charley,ai,0.16,2207,know,32,know,C,NA,default,50,Yes,Male,NA,27
1107,default,block2,jayden,ai,0.12,2416,acknowledge,33,acknowledge,C,NA,default,50,Yes,Male,NA,28
1107,default,block2,mary,ai,0.77,3040,demonstrate,34,demonstrate,C,NA,default,50,Yes,Male,NA,29
1107,default,block2,josie,ai,0.27,1975,suggest,35,suggest,C,NA,default,50,Yes,Male,NA,30
1107,default,block2,mia,ai,0.71,1176,see,36,see,C,NA,default,50,Yes,Male,NA,31
1107,default,block2,grace,ai,0.26,1520,discover,37,discover,C,NA,default,50,Yes,Male,NA,32
1107,default,block2,emma,ai,0.16,13440,confirm,38,confirm,C,NA,default,50,Yes,Male,NA,33
1107,default,block2,pizza,ai,0.9,2464,MC,39,MC,MC,NA,default,50,Yes,Male,NA,34
1107,default,block2,olivia,ai,0.11,1616,pretend,40,pretend,C,NA,default,50,Yes,Male,NA,35
1107,default,block2,sophia,ai,0.28,2064,be_annoyed,41,be_annoyed,C,NA,default,50,Yes,Male,NA,36
1107,default,block2,jackson,ai,0.79,2601,hear,42,hear,C,NA,default,50,Yes,Male,NA,37
1107,default,block2,garage,ai,0.69,1863,MC,43,MC,MC,NA,default,50,Yes,Male,NA,38
1107,default,block2,isabella,ai,0.15,2224,be_right,44,be_right,C,NA,default,50,Yes,Male,NA,39
1107,default,block2,owen,ai,0.65,1576,reveal,45,reveal,C,NA,default,50,Yes,Male,NA,40
1107,default,block2,kids,ai,0.15,4984,MC,46,MC,MC,NA,default,50,Yes,Male,NA,41
1107,default,block2,jon,ai,0.87,2511,inform,47,inform,C,NA,default,50,Yes,Male,NA,42
1107,default,block2,danny,ai,0.23,2048,establish,48,establish,C,NA,default,50,Yes,Male,NA,43
1107,default,block2,julian,ai,0.19,1680,admit,49,admit,C,NA,default,50,Yes,Male,NA,44
1107,default,block2,zoe,ai,0.2,2479,confess,50,confess,C,NA,default,50,Yes,Male,NA,45
1107,default,block2,muffins,ai,0.86,1849,MC,51,MC,MC,NA,default,50,Yes,Male,NA,46
1107,default,block2,emily,ai,0.17,2144,announce,52,announce,C,NA,default,50,Yes,Male,NA,47
1107,default,block2,tony,ai,0.16,4664,say,53,say,C,NA,default,50,Yes,Male,NA,48
1107,default,block2,ballet,ai,0.84,2184,MC,54,MC,MC,NA,default,50,Yes,Male,NA,49
1107,default,block2,hat,ai,0.19,2808,MC,55,MC,MC,NA,default,50,Yes,Male,NA,50
1107,default,block2,frank,ai,0.2,2751,prove,56,prove,C,NA,default,50,Yes,Male,NA,51
1107,default,block2,josh,ai,0.15,64369,think,57,think,C,NA,default,50,Yes,Male,NA,52
1101,default,block1,emma,ai,0.27,27122,see,5,see,C,NA,default,48,Yes,Male,NA,1
1101,default,block1,josie,ai,0.74,10061,discover,6,discover,C,NA,default,48,Yes,Male,NA,2
1101,default,block1,muffins,ai,0.82,120871,MC,7,MC,MC,NA,default,48,Yes,Male,NA,3
1101,default,block1,frank,ai,0.8,80854,demonstrate,8,demonstrate,C,NA,default,48,Yes,Male,NA,4
1101,default,block1,hat,ai,0.26,8950,MC,9,MC,MC,NA,default,48,Yes,Male,NA,5
1101,default,block1,jayden,ai,0.15,6260,say,10,say,C,NA,default,48,Yes,Male,NA,6
1101,default,block1,josh,ai,0.19,26232,confirm,11,confirm,C,NA,default,48,Yes,Male,NA,7
1101,default,block1,mia,ai,0.82,9545,acknowledge,12,acknowledge,C,NA,default,48,Yes,Male,NA,8
1101,default,block1,pizza,ai,0.8,11325,MC,13,MC,MC,NA,default,48,Yes,Male,NA,9
1101,default,block1,emily,ai,0.86,10101,be_right,14,be_right,C,NA,default,48,Yes,Male,NA,10
1101,default,block1,grace,ai,0.85,103697,reveal,15,reveal,C,NA,default,48,Yes,Male,NA,11
1101,default,block1,tony,ai,0.8,64876,confess,16,confess,C,NA,default,48,Yes,Male,NA,12
1101,default,block1,mary,ai,0.87,59292,pretend,17,pretend,C,NA,default,48,Yes,Male,NA,13
1101,default,block1,charley,ai,0.83,5539,hear,18,hear,C,NA,default,48,Yes,Male,NA,14
1101,default,block1,olivia,ai,0.86,6744,suggest,19,suggest,C,NA,default,48,Yes,Male,NA,15
1101,default,block1,zoe,ai,0.87,8995,announce,20,announce,C,NA,default,48,Yes,Male,NA,16
1101,default,block1,sophia,ai,0.78,8826,establish,21,establish,C,NA,default,48,Yes,Male,NA,17
1101,default,block1,isabella,ai,0.78,3604,admit,22,admit,C,NA,default,48,Yes,Male,NA,18
1101,default,block1,ballet,ai,0.83,4695,MC,23,MC,MC,NA,default,48,Yes,Male,NA,19
1101,default,block1,kids,ai,0.7,10540,MC,24,MC,MC,NA,default,48,Yes,Male,NA,20
1101,default,block1,julian,ai,0.75,6820,be_annoyed,25,be_annoyed,C,NA,default,48,Yes,Male,NA,21
1101,default,block1,garage,ai,0.74,8105,MC,26,MC,MC,NA,default,48,Yes,Male,NA,22
1101,default,block1,jackson,ai,0.26,6642,think,27,think,C,NA,default,48,Yes,Male,NA,23
1101,default,block1,jon,ai,0.2,4216,prove,28,prove,C,NA,default,48,Yes,Male,NA,24
1101,default,block1,owen,ai,0.36,3274,know,29,know,C,NA,default,48,Yes,Male,NA,25
1101,default,block1,danny,ai,0.23,3062,inform,30,inform,C,NA,default,48,Yes,Male,NA,26
1101,default,block2,julian,projective,0.77,15802,be_annoyed,32,be_annoyed,C,NA,default,48,Yes,Male,NA,27
1101,default,block2,jon,projective,0.16,8222,prove,33,prove,C,NA,default,48,Yes,Male,NA,28
1101,default,block2,josh,projective,0.17,12866,confirm,34,confirm,C,NA,default,48,Yes,Male,NA,29
1101,default,block2,olivia,projective,0.21,4642,suggest,35,suggest,C,NA,default,48,Yes,Male,NA,30
1101,default,block2,isabella,projective,0.16,10283,admit,36,admit,C,NA,default,48,Yes,Male,NA,31
1101,default,block2,grace,projective,0.13,72682,reveal,37,reveal,C,NA,default,48,Yes,Male,NA,32
1101,default,block2,emma,projective,0.14,3260,see,38,see,C,NA,default,48,Yes,Male,NA,33
1101,default,block2,emily,projective,0.78,5133,be_right,39,be_right,C,NA,default,48,Yes,Male,NA,34
1101,default,block2,sophia,projective,0.27,4960,establish,40,establish,C,NA,default,48,Yes,Male,NA,35
1101,default,block2,zoe,projective,0.17,4969,announce,41,announce,C,NA,default,48,Yes,Male,NA,36
1101,default,block2,charley,projective,0.82,7836,hear,42,hear,C,NA,default,48,Yes,Male,NA,37
1101,default,block2,frank,projective,0.82,2733,demonstrate,43,demonstrate,C,NA,default,48,Yes,Male,NA,38
1101,default,block2,jackson,projective,0.23,1320,think,44,think,C,NA,default,48,Yes,Male,NA,39
1101,default,block2,danny,projective,0.17,3092,inform,45,inform,C,NA,default,48,Yes,Male,NA,40
1101,default,block2,jayden,projective,0.7,1398,say,46,say,C,NA,default,48,Yes,Male,NA,41
1101,default,block2,mary,projective,0.28,1277,pretend,47,pretend,C,NA,default,48,Yes,Male,NA,42
1101,default,block2,hat,projective,0.8,1111,MC,48,MC,MC,NA,default,48,Yes,Male,NA,43
1101,default,block2,owen,projective,0.77,1228,know,49,know,C,NA,default,48,Yes,Male,NA,44
1101,default,block2,garage,projective,0.23,1292,MC,50,MC,MC,NA,default,48,Yes,Male,NA,45
1101,default,block2,tony,projective,0.75,1939,confess,51,confess,C,NA,default,48,Yes,Male,NA,46
1101,default,block2,mia,projective,0.23,1515,acknowledge,52,acknowledge,C,NA,default,48,Yes,Male,NA,47
1101,default,block2,ballet,projective,0.23,2044,MC,53,MC,MC,NA,default,48,Yes,Male,NA,48
1101,default,block2,pizza,projective,0.74,975,MC,54,MC,MC,NA,default,48,Yes,Male,NA,49
1101,default,block2,kids,projective,0.31,1083,MC,55,MC,MC,NA,default,48,Yes,Male,NA,50
1101,default,block2,muffins,projective,0.26,1307,MC,56,MC,MC,NA,default,48,Yes,Male,NA,51
1101,default,block2,josie,projective,0.28,1063,discover,57,discover,C,NA,default,48,Yes,Male,NA,52
1099,default,block1,mia,ai,0.41,6940,hear,5,hear,C,NA,default,41,Yes,Male,NA,1
1099,default,block1,isabella,ai,0.38,17608,be_right,6,be_right,C,NA,default,41,Yes,Male,NA,2
1099,default,block1,sophia,ai,0.68,5576,reveal,7,reveal,C,NA,default,41,Yes,Male,NA,3
1099,default,block1,olivia,ai,0.25,2000,know,8,know,C,NA,default,41,Yes,Male,NA,4
1099,default,block1,zoe,ai,0.58,1632,see,9,see,C,NA,default,41,Yes,Male,NA,5
1099,default,block1,jon,ai,0.36,1648,announce,10,announce,C,NA,default,41,Yes,Male,NA,6
1099,default,block1,jayden,ai,0.18,46423,acknowledge,11,acknowledge,C,NA,default,41,Yes,Male,NA,7
1099,default,block1,josie,ai,0.61,1247,discover,12,discover,C,NA,default,41,Yes,Male,NA,8
1099,default,block1,grace,ai,0.29,1745,prove,13,prove,C,NA,default,41,Yes,Male,NA,9
1099,default,block1,ballet,ai,0.64,1640,MC,14,MC,MC,NA,default,41,Yes,Male,NA,10
1099,default,block1,jackson,ai,0.29,1664,suggest,15,suggest,C,NA,default,41,Yes,Male,NA,11
1099,default,block1,julian,ai,0.62,1383,think,16,think,C,NA,default,41,Yes,Male,NA,12
1099,default,block1,hat,ai,0.4,1865,MC,17,MC,MC,NA,default,41,Yes,Male,NA,13
1099,default,block1,mary,ai,0.69,1520,admit,18,admit,C,NA,default,41,Yes,Male,NA,14
1099,default,block1,charley,ai,0.32,1375,confess,19,confess,C,NA,default,41,Yes,Male,NA,15
1099,default,block1,josh,ai,0.66,937,pretend,20,pretend,C,NA,default,41,Yes,Male,NA,16
1099,default,block1,garage,ai,0.35,1312,MC,21,MC,MC,NA,default,41,Yes,Male,NA,17
1099,default,block1,emily,ai,0.63,1663,establish,22,establish,C,NA,default,41,Yes,Male,NA,18
1099,default,block1,frank,ai,0.33,1465,demonstrate,23,demonstrate,C,NA,default,41,Yes,Male,NA,19
1099,default,block1,kids,ai,0.62,1025,MC,24,MC,MC,NA,default,41,Yes,Male,NA,20
1099,default,block1,pizza,ai,0.35,1024,MC,25,MC,MC,NA,default,41,Yes,Male,NA,21
1099,default,block1,owen,ai,0.63,1334,confirm,26,confirm,C,NA,default,41,Yes,Male,NA,22
1099,default,block1,tony,ai,0.34,1921,say,27,say,C,NA,default,41,Yes,Male,NA,23
1099,default,block1,emma,ai,0.61,2416,inform,28,inform,C,NA,default,41,Yes,Male,NA,24
1099,default,block1,danny,ai,0.35,1464,be_annoyed,29,be_annoyed,C,NA,default,41,Yes,Male,NA,25
1099,default,block1,muffins,ai,0.61,1711,MC,30,MC,MC,NA,default,41,Yes,Male,NA,26
1099,default,block2,muffins,projective,0.36,2160,MC,32,MC,MC,NA,default,41,Yes,Male,NA,27
1099,default,block2,kids,projective,0.7,1495,MC,33,MC,MC,NA,default,41,Yes,Male,NA,28
1099,default,block2,josh,projective,0.51,62888,pretend,34,pretend,C,NA,default,41,Yes,Male,NA,29
1099,default,block2,frank,projective,0.72,1456,demonstrate,35,demonstrate,C,NA,default,41,Yes,Male,NA,30
1099,default,block2,grace,projective,0.33,1216,prove,36,prove,C,NA,default,41,Yes,Male,NA,31
1099,default,block2,sophia,projective,0.64,1960,reveal,37,reveal,C,NA,default,41,Yes,Male,NA,32
1099,default,block2,jon,projective,0.39,1560,announce,38,announce,C,NA,default,41,Yes,Male,NA,33
1099,default,block2,ballet,projective,0.43,14576,MC,39,MC,MC,NA,default,41,Yes,Male,NA,34
1099,default,block2,zoe,projective,0.7,2416,see,40,see,C,NA,default,41,Yes,Male,NA,35
1099,default,block2,danny,projective,0.42,1872,be_annoyed,41,be_annoyed,C,NA,default,41,Yes,Male,NA,36
1099,default,block2,mary,projective,0.67,1393,admit,42,admit,C,NA,default,41,Yes,Male,NA,37
1099,default,block2,owen,projective,0.37,1415,confirm,43,confirm,C,NA,default,41,Yes,Male,NA,38
1099,default,block2,isabella,projective,0.57,1472,be_right,44,be_right,C,NA,default,41,Yes,Male,NA,39
1099,default,block2,hat,projective,0.34,1383,MC,45,MC,MC,NA,default,41,Yes,Male,NA,40
1099,default,block2,julian,projective,0.63,2385,think,46,think,C,NA,default,41,Yes,Male,NA,41
1099,default,block2,josie,projective,0.39,1224,discover,47,discover,C,NA,default,41,Yes,Male,NA,42
1099,default,block2,pizza,projective,0.64,1481,MC,48,MC,MC,NA,default,41,Yes,Male,NA,43
1099,default,block2,charley,projective,0.39,2239,confess,49,confess,C,NA,default,41,Yes,Male,NA,44
1099,default,block2,emma,projective,0.66,1248,inform,50,inform,C,NA,default,41,Yes,Male,NA,45
1099,default,block2,emily,projective,0.36,2295,establish,51,establish,C,NA,default,41,Yes,Male,NA,46
1099,default,block2,garage,projective,0.62,1208,MC,52,MC,MC,NA,default,41,Yes,Male,NA,47
1099,default,block2,jackson,projective,0.36,1031,suggest,53,suggest,C,NA,default,41,Yes,Male,NA,48
1099,default,block2,mia,projective,0.69,1001,hear,54,hear,C,NA,default,41,Yes,Male,NA,49
1099,default,block2,tony,projective,0.4,1055,say,55,say,C,NA,default,41,Yes,Male,NA,50
1099,default,block2,olivia,projective,0.39,944,know,56,know,C,NA,default,41,Yes,Male,NA,51
1099,default,block2,jayden,projective,0.6,1304,acknowledge,57,acknowledge,C,NA,default,41,Yes,Male,NA,52
1108,default,block1,owen,projective,0.73,4623,know,5,know,C,NA,default,42,Yes,Male,NA,1
1108,default,block1,mia,projective,0.68,3111,inform,6,inform,C,NA,default,42,Yes,Male,NA,2
1108,default,block1,emily,projective,0.26,3928,discover,7,discover,C,NA,default,42,Yes,Male,NA,3
1108,default,block1,ballet,projective,0.83,2272,MC,8,MC,MC,NA,default,42,Yes,Male,NA,4
1108,default,block1,sophia,projective,0.81,27808,hear,9,hear,C,NA,default,42,Yes,Male,NA,5
1108,default,block1,josh,projective,0.77,1688,be_annoyed,10,be_annoyed,C,NA,default,42,Yes,Male,NA,6
1108,default,block1,pizza,projective,0.14,1528,MC,11,MC,MC,NA,default,42,Yes,Male,NA,7
1108,default,block1,emma,projective,0.83,1744,confirm,12,confirm,C,NA,default,42,Yes,Male,NA,8
1108,default,block1,danny,projective,0.89,1559,confess,13,confess,C,NA,default,42,Yes,Male,NA,9
