response	trial_index	task	participantID	age	gender	language	amE	comments	expression	cc	context
0	35	target	295	34	male	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0.73	36	target	295	34	male	English	AmE	"""":""""""""}	reveal	Tony had a drink last night	factL
0.82	37	target	295	34	male	English	AmE	"""":""""""""}	suggest	Mary is pregnant	explicitIgnorance
0.13	38	target	295	34	male	English	AmE	"""":""""""""}	pretend	Emma studied on Saturday morning	factH
1	39	target	295	34	male	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
1	1	practice	332	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0	3	practice	332	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0.93	5	practice	332	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0	7	practice	332	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0.05	10	target	332	39	male	English	AmE	"""":""""""""}	hear	Charley speaks Spanish	factL
0.78	11	target	332	39	male	English	AmE	"""":""""""""}	announce	Jayden rented a car	factH
1	12	target	332	39	male	English	AmE	"""":""""""""}	confirm	Mia drank 2 cocktails last night	explicitIgnorance
0.91	13	target	332	39	male	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0.95	14	target	332	39	male	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
1	15	target	332	39	male	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.75	16	target	332	39	male	English	AmE	"""":""""""""}	demonstrate	Sophia got a tattoo	explicitIgnorance
1	17	target	332	39	male	English	AmE	"""":""""""""}	know	Grace visited her sister	explicitIgnorance
1	18	target	332	39	male	English	AmE	"""":""""""""}	suggest	Olivia sleeps until noon	explicitIgnorance
0.09	19	target	332	39	male	English	AmE	"""":""""""""}	establish	Mary is pregnant	factL
0.12	20	target	332	39	male	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
0.9	21	target	332	39	male	English	AmE	"""":""""""""}	discover	Emma studied on Saturday morning	explicitIgnorance
0.8	22	target	332	39	male	English	AmE	"""":""""""""}	be right	Owen shoveled snow last winter	explicitIgnorance
0.17	23	target	332	39	male	English	AmE	"""":""""""""}	think	Josh learned to ride a bike yesterday	factH
0.33	24	target	332	39	male	English	AmE	"""":""""""""}	see	Emily bought a car yesterday	factH
1	25	target	332	39	male	English	AmE	"""":""""""""}	controlGood3	noCC	other
0.79	26	target	332	39	male	English	AmE	"""":""""""""}	pretend	Tony had a drink last night	explicitIgnorance
0.28	27	target	332	39	male	English	AmE	"""":""""""""}	say	Jackson ran 10 miles	factL
0.84	28	target	332	39	male	English	AmE	"""":""""""""}	prove	Josie went on vacation to France	explicitIgnorance
0.39	29	target	332	39	male	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0.25	30	target	332	39	male	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.83	31	target	332	39	male	English	AmE	"""":""""""""}	admit	Isabella ate a steak on Sunday	explicitIgnorance
1	32	target	332	39	male	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0.67	33	target	332	39	male	English	AmE	"""":""""""""}	reveal	Frank got a cat	factH
0.18	34	target	332	39	male	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0.71	35	target	332	39	male	English	AmE	"""":""""""""}	confess	Jon walks to work	explicitIgnorance
0.13	36	target	332	39	male	English	AmE	"""":""""""""}	be annoyed	Julian dances salsa	factL
0.86	37	target	332	39	male	English	AmE	"""":""""""""}	inform	Danny ate the last cupcake	explicitIgnorance
0.98	38	target	332	39	male	English	AmE	"""":""""""""}	acknowledge	Zoe calculated the tip	explicitIgnorance
1	39	target	332	39	male	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
1	1	practice	303	29	female	English	AmE	"""":""""was fine thanks""""}	practice	noCC	other
0	3	practice	303	29	female	English	AmE	"""":""""was fine thanks""""}	practice	noCC	other
0.96	5	practice	303	29	female	English	AmE	"""":""""was fine thanks""""}	practice	noCC	other
0.74	7	practice	303	29	female	English	AmE	"""":""""was fine thanks""""}	practice	noCC	other
0.25	9	practice	303	29	female	English	AmE	"""":""""was fine thanks""""}	practice	noCC	other
0.72	12	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	reveal	Jackson ran 10 miles	explicitIgnorance
0.71	13	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	controlGood3	noCC	other
0.33	14	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	be right	Jayden rented a car	factL
0.63	15	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	pretend	Mary is pregnant	explicitIgnorance
0.72	16	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	confirm	Frank got a cat	explicitIgnorance
1	17	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	controlGood4	noCC	other
0.48	18	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	admit	Josie went on vacation to France	factH
0.55	19	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	establish	Josh learned to ride a bike yesterday	explicitIgnorance
0.54	20	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	see	Olivia sleeps until noon	explicitIgnorance
0.41	21	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	confess	Charley speaks Spanish	factL
0.21	22	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	stop	noCC	explicitIgnorance
0	23	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	also	noCC	explicitIgnorance
0.72	24	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	inform	Tony had a drink last night	factH
0.58	25	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	discover	Zoe calculated the tip	factH
0.28	26	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	cleft	noCC	explicitIgnorance
0.79	27	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	suggest	Mia drank 2 cocktails last night	explicitIgnorance
1	28	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	controlGood1	noCC	explicitIgnorance
0.28	29	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	continue	noCC	explicitIgnorance
0.89	30	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	think	Jon walks to work	explicitIgnorance
0.56	31	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	demonstrate	Sophia got a tattoo	explicitIgnorance
0.63	32	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	hear	Danny ate the last cupcake	factL
0.13	33	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	be annoyed	Grace visited her sister	explicitIgnorance
0.07	34	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	know	Owen shoveled snow last winter	explicitIgnorance
0.04	35	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	too	noCC	explicitIgnorance
0.07	36	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	again	noCC	explicitIgnorance
0.83	37	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	say	Emma studied on Saturday morning	explicitIgnorance
1	38	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	controlGood2	noCC	explicitIgnorance
0.76	39	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	announce	Emily bought a car yesterday	factL
0.62	40	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	prove	Isabella ate a steak on Sunday	explicitIgnorance
0.55	41	target	303	29	female	English	AmE	"""":""""was fine thanks""""}	acknowledge	Julian dances salsa	factH
0.5	1	practice	98	63	female	English	AmE	"""":""""""""}	practice	noCC	other
1	3	practice	98	63	female	English	AmE	"""":""""""""}	practice	noCC	other
0	5	practice	98	63	female	English	AmE	"""":""""""""}	practice	noCC	other
0.75	7	practice	98	63	female	English	AmE	"""":""""""""}	practice	noCC	other
0	9	practice	98	63	female	English	AmE	"""":""""""""}	practice	noCC	other
0	12	target	98	63	female	English	AmE	"""":""""""""}	see	Olivia sleeps until noon	explicitIgnorance
0	13	target	98	63	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0	14	target	98	63	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
0	15	target	98	63	female	English	AmE	"""":""""""""}	admit	Emily bought a car yesterday	factH
0	16	target	98	63	female	English	AmE	"""":""""""""}	know	Charley speaks Spanish	explicitIgnorance
0	17	target	98	63	female	English	AmE	"""":""""""""}	controlGood3	noCC	other
0	18	target	98	63	female	English	AmE	"""":""""""""}	confess	Grace visited her sister	factH
0.68	19	target	98	63	female	English	AmE	"""":""""""""}	acknowledge	Julian dances salsa	factH
1	20	target	98	63	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0	21	target	98	63	female	English	AmE	"""":""""""""}	be annoyed	Josie went on vacation to France	explicitIgnorance
1	22	target	98	63	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0	23	target	98	63	female	English	AmE	"""":""""""""}	announce	Mary is pregnant	factL
1	24	target	98	63	female	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.15	25	target	98	63	female	English	AmE	"""":""""""""}	be right	Josh learned to ride a bike yesterday	factL
1	26	target	98	63	female	English	AmE	"""":""""""""}	confirm	Frank got a cat	explicitIgnorance
0	27	target	98	63	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
1	28	target	98	63	female	English	AmE	"""":""""""""}	hear	Jackson ran 10 miles	explicitIgnorance
0.7	29	target	98	63	female	English	AmE	"""":""""""""}	demonstrate	Jon walks to work	explicitIgnorance
0	30	target	98	63	female	English	AmE	"""":""""""""}	prove	Emma studied on Saturday morning	factL
0	31	target	98	63	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.79	32	target	98	63	female	English	AmE	"""":""""""""}	establish	Jayden rented a car	explicitIgnorance
0	33	target	98	63	female	English	AmE	"""":""""""""}	pretend	Owen shoveled snow last winter	explicitIgnorance
1	34	target	98	63	female	English	AmE	"""":""""""""}	say	Sophia got a tattoo	explicitIgnorance
0	35	target	98	63	female	English	AmE	"""":""""""""}	reveal	Zoe calculated the tip	factL
0	36	target	98	63	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
1	37	target	98	63	female	English	AmE	"""":""""""""}	think	Isabella ate a steak on Sunday	explicitIgnorance
1	38	target	98	63	female	English	AmE	"""":""""""""}	discover	Tony had a drink last night	explicitIgnorance
0.5	39	target	98	63	female	English	AmE	"""":""""""""}	suggest	Mia drank 2 cocktails last night	factH
0	40	target	98	63	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
1	41	target	98	63	female	English	AmE	"""":""""""""}	inform	Danny ate the last cupcake	explicitIgnorance
0.37	1	practice	129	37	male	English	AmE	"""":""""""""}	practice	noCC	other
0.85	3	practice	129	37	male	English	AmE	"""":""""""""}	practice	noCC	other
0.11	5	practice	129	37	male	English	AmE	"""":""""""""}	practice	noCC	other
0.88	7	practice	129	37	male	English	AmE	"""":""""""""}	practice	noCC	other
0.19	9	practice	129	37	male	English	AmE	"""":""""""""}	practice	noCC	other
0.12	12	target	129	37	male	English	AmE	"""":""""""""}	controlGood3	noCC	other
0.68	13	target	129	37	male	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.26	14	target	129	37	male	English	AmE	"""":""""""""}	admit	Jackson ran 10 miles	factL
0.9	15	target	129	37	male	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0.66	16	target	129	37	male	English	AmE	"""":""""""""}	inform	Grace visited her sister	explicitIgnorance
0.8	17	target	129	37	male	English	AmE	"""":""""""""}	prove	Isabella ate a steak on Sunday	explicitIgnorance
0.84	18	target	129	37	male	English	AmE	"""":""""""""}	discover	Mia drank 2 cocktails last night	explicitIgnorance
0.24	19	target	129	37	male	English	AmE	"""":""""""""}	say	Sophia got a tattoo	factH
0.08	20	target	129	37	male	English	AmE	"""":""""""""}	acknowledge	Josh learned to ride a bike yesterday	factL
0.84	21	target	129	37	male	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.2	22	target	129	37	male	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.72	23	target	129	37	male	English	AmE	"""":""""""""}	demonstrate	Julian dances salsa	explicitIgnorance
0.28	24	target	129	37	male	English	AmE	"""":""""""""}	pretend	Frank got a cat	factH
0.23	25	target	129	37	male	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
0.77	26	target	129	37	male	English	AmE	"""":""""""""}	know	Danny ate the last cupcake	factL
0.26	27	target	129	37	male	English	AmE	"""":""""""""}	think	Zoe calculated the tip	factH
0.9	28	target	129	37	male	English	AmE	"""":""""""""}	confirm	Josie went on vacation to France	explicitIgnorance
0.27	29	target	129	37	male	English	AmE	"""":""""""""}	be annoyed	Mary is pregnant	explicitIgnorance
0.82	30	target	129	37	male	English	AmE	"""":""""""""}	see	Jayden rented a car	explicitIgnorance
0.19	31	target	129	37	male	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0.8	32	target	129	37	male	English	AmE	"""":""""""""}	reveal	Tony had a drink last night	explicitIgnorance
0.71	33	target	129	37	male	English	AmE	"""":""""""""}	establish	Jon walks to work	factL
0.25	34	target	129	37	male	English	AmE	"""":""""""""}	announce	Emma studied on Saturday morning	factH
0.87	35	target	129	37	male	English	AmE	"""":""""""""}	suggest	Owen shoveled snow last winter	explicitIgnorance
1	36	target	129	37	male	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0.04	37	target	129	37	male	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0.9	38	target	129	37	male	English	AmE	"""":""""""""}	be right	Emily bought a car yesterday	explicitIgnorance
0.88	39	target	129	37	male	English	AmE	"""":""""""""}	hear	Olivia sleeps until noon	explicitIgnorance
0.89	40	target	129	37	male	English	AmE	"""":""""""""}	confess	Charley speaks Spanish	explicitIgnorance
0.16	41	target	129	37	male	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0.83	1	practice	68	58	female	English	AmE	"""":""""thought provoking!""""}	practice	noCC	other
0.75	3	practice	68	58	female	English	AmE	"""":""""thought provoking!""""}	practice	noCC	other
0	5	practice	68	58	female	English	AmE	"""":""""thought provoking!""""}	practice	noCC	other
0.95	7	practice	68	58	female	English	AmE	"""":""""thought provoking!""""}	practice	noCC	other
0.17	9	practice	68	58	female	English	AmE	"""":""""thought provoking!""""}	practice	noCC	other
0.23	12	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	pretend	Sophia got a tattoo	explicitIgnorance
0.19	13	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	confirm	Zoe calculated the tip	explicitIgnorance
0.12	14	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	confess	Emma studied on Saturday morning	explicitIgnorance
0.65	15	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	reveal	Grace visited her sister	explicitIgnorance
0.79	16	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	establish	Tony had a drink last night	factH
0.15	17	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	demonstrate	Jon walks to work	factL
1	18	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	see	Josie went on vacation to France	factH
0.93	19	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	inform	Owen shoveled snow last winter	explicitIgnorance
0.17	20	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	too	noCC	explicitIgnorance
0.88	21	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	controlGood2	noCC	explicitIgnorance
0.9	22	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	be right	Frank got a cat	factH
0.99	23	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	discover	Jayden rented a car	factL
0.94	24	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	again	noCC	explicitIgnorance
0.98	25	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	controlGood1	noCC	explicitIgnorance
0.9	26	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	admit	Josh learned to ride a bike yesterday	explicitIgnorance
0.95	27	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	suggest	Isabella ate a steak on Sunday	explicitIgnorance
0.9	28	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	hear	Mary is pregnant	explicitIgnorance
0.92	29	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	prove	Mia drank 2 cocktails last night	explicitIgnorance
0.08	30	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	cleft	noCC	explicitIgnorance
0.99	31	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	say	Olivia sleeps until noon	factH
0.99	32	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	announce	Julian dances salsa	factL
0.9	33	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	controlGood3	noCC	other
0.12	34	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	also	noCC	explicitIgnorance
0.13	35	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	know	Danny ate the last cupcake	explicitIgnorance
0.07	36	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	be annoyed	Charley speaks Spanish	explicitIgnorance
1	37	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	controlGood4	noCC	other
1	38	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	think	Jackson ran 10 miles	explicitIgnorance
0.99	39	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	acknowledge	Emily bought a car yesterday	factL
0.12	40	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	continue	noCC	explicitIgnorance
0.04	41	target	68	58	female	English	AmE	"""":""""thought provoking!""""}	stop	noCC	explicitIgnorance
1	1	practice	317	49	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0	3	practice	317	49	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
1	5	practice	317	49	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0	7	practice	317	49	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0	10	target	317	49	male	English	AmE	"""":""""N/A""""}	acknowledge	Josie went on vacation to France	factL
0	11	target	317	49	male	English	AmE	"""":""""N/A""""}	again	noCC	explicitIgnorance
0	12	target	317	49	male	English	AmE	"""":""""N/A""""}	also	noCC	explicitIgnorance
0	13	target	317	49	male	English	AmE	"""":""""N/A""""}	be annoyed	Grace visited her sister	explicitIgnorance
0	14	target	317	49	male	English	AmE	"""":""""N/A""""}	stop	noCC	explicitIgnorance
0	15	target	317	49	male	English	AmE	"""":""""N/A""""}	cleft	noCC	explicitIgnorance
0	16	target	317	49	male	English	AmE	"""":""""N/A""""}	inform	Mary is pregnant	explicitIgnorance
1	17	target	317	49	male	English	AmE	"""":""""N/A""""}	say	Mia drank 2 cocktails last night	explicitIgnorance
1	18	target	317	49	male	English	AmE	"""":""""N/A""""}	controlGood4	noCC	other
0	19	target	317	49	male	English	AmE	"""":""""N/A""""}	continue	noCC	explicitIgnorance
0	20	target	317	49	male	English	AmE	"""":""""N/A""""}	see	Josh learned to ride a bike yesterday	explicitIgnorance
0	21	target	317	49	male	English	AmE	"""":""""N/A""""}	pretend	Olivia sleeps until noon	factH
0	22	target	317	49	male	English	AmE	"""":""""N/A""""}	too	noCC	explicitIgnorance
0.02	23	target	317	49	male	English	AmE	"""":""""N/A""""}	reveal	Emma studied on Saturday morning	factH
0	24	target	317	49	male	English	AmE	"""":""""N/A""""}	hear	Isabella ate a steak on Sunday	factL
0.11	25	target	317	49	male	English	AmE	"""":""""N/A""""}	prove	Jon walks to work	factL
1	26	target	317	49	male	English	AmE	"""":""""N/A""""}	think	Frank got a cat	explicitIgnorance
1	27	target	317	49	male	English	AmE	"""":""""N/A""""}	announce	Danny ate the last cupcake	explicitIgnorance
1	28	target	317	49	male	English	AmE	"""":""""N/A""""}	controlGood2	noCC	explicitIgnorance
0.96	29	target	317	49	male	English	AmE	"""":""""N/A""""}	know	Emily bought a car yesterday	factL
1	30	target	317	49	male	English	AmE	"""":""""N/A""""}	controlGood1	noCC	explicitIgnorance
0	31	target	317	49	male	English	AmE	"""":""""N/A""""}	controlGood3	noCC	other
0.08	32	target	317	49	male	English	AmE	"""":""""N/A""""}	demonstrate	Sophia got a tattoo	explicitIgnorance
1	33	target	317	49	male	English	AmE	"""":""""N/A""""}	confess	Tony had a drink last night	explicitIgnorance
1	34	target	317	49	male	English	AmE	"""":""""N/A""""}	suggest	Charley speaks Spanish	explicitIgnorance
1	35	target	317	49	male	English	AmE	"""":""""N/A""""}	be right	Jackson ran 10 miles	factH
0.64	36	target	317	49	male	English	AmE	"""":""""N/A""""}	establish	Julian dances salsa	explicitIgnorance
1	37	target	317	49	male	English	AmE	"""":""""N/A""""}	admit	Owen shoveled snow last winter	explicitIgnorance
0.35	38	target	317	49	male	English	AmE	"""":""""N/A""""}	confirm	Zoe calculated the tip	factH
0	39	target	317	49	male	English	AmE	"""":""""N/A""""}	discover	Jayden rented a car	explicitIgnorance
1	1	practice	57	44	female	English	AmE	"""":""""""""}	practice	noCC	other
0	3	practice	57	44	female	English	AmE	"""":""""""""}	practice	noCC	other
1	5	practice	57	44	female	English	AmE	"""":""""""""}	practice	noCC	other
0	7	practice	57	44	female	English	AmE	"""":""""""""}	practice	noCC	other
1	10	target	57	44	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0.18	11	target	57	44	female	English	AmE	"""":""""""""}	admit	Danny ate the last cupcake	factH
1	12	target	57	44	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
1	13	target	57	44	female	English	AmE	"""":""""""""}	say	Jayden rented a car	factH
0	14	target	57	44	female	English	AmE	"""":""""""""}	controlGood3	noCC	other
0	15	target	57	44	female	English	AmE	"""":""""""""}	inform	Mia drank 2 cocktails last night	explicitIgnorance
0	16	target	57	44	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0	17	target	57	44	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.14	18	target	57	44	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
1	19	target	57	44	female	English	AmE	"""":""""""""}	confirm	Grace visited her sister	factH
1	20	target	57	44	female	English	AmE	"""":""""""""}	suggest	Zoe calculated the tip	explicitIgnorance
0.3	21	target	57	44	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
1	22	target	57	44	female	English	AmE	"""":""""""""}	be right	Jon walks to work	factL
1	23	target	57	44	female	English	AmE	"""":""""""""}	think	Jackson ran 10 miles	explicitIgnorance
0.71	24	target	57	44	female	English	AmE	"""":""""""""}	prove	Josh learned to ride a bike yesterday	explicitIgnorance
0.11	25	target	57	44	female	English	AmE	"""":""""""""}	pretend	Emma studied on Saturday morning	explicitIgnorance
0.7	26	target	57	44	female	English	AmE	"""":""""""""}	acknowledge	Tony had a drink last night	explicitIgnorance
0.73	27	target	57	44	female	English	AmE	"""":""""""""}	hear	Josie went on vacation to France	factL
0.82	28	target	57	44	female	English	AmE	"""":""""""""}	discover	Olivia sleeps until noon	explicitIgnorance
0	29	target	57	44	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.39	30	target	57	44	female	English	AmE	"""":""""""""}	be annoyed	Owen shoveled snow last winter	explicitIgnorance
0.59	31	target	57	44	female	English	AmE	"""":""""""""}	announce	Charley speaks Spanish	explicitIgnorance
0.19	32	target	57	44	female	English	AmE	"""":""""""""}	know	Mary is pregnant	explicitIgnorance
0.75	33	target	57	44	female	English	AmE	"""":""""""""}	see	Isabella ate a steak on Sunday	factL
0.86	34	target	57	44	female	English	AmE	"""":""""""""}	reveal	Sophia got a tattoo	explicitIgnorance
0.32	35	target	57	44	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
0.79	36	target	57	44	female	English	AmE	"""":""""""""}	establish	Julian dances salsa	explicitIgnorance
0.28	37	target	57	44	female	English	AmE	"""":""""""""}	confess	Emily bought a car yesterday	factL
1	38	target	57	44	female	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.73	39	target	57	44	female	English	AmE	"""":""""""""}	demonstrate	Frank got a cat	factH
0.45	1	practice	200	23	female	English	AmE	"""":""""""""}	practice	noCC	other
0.75	3	practice	200	23	female	English	AmE	"""":""""""""}	practice	noCC	other
0.07	5	practice	200	23	female	English	AmE	"""":""""""""}	practice	noCC	other
0.72	7	practice	200	23	female	English	AmE	"""":""""""""}	practice	noCC	other
0.09	9	practice	200	23	female	English	AmE	"""":""""""""}	practice	noCC	other
0.94	12	target	200	23	female	English	AmE	"""":""""""""}	confirm	Charley speaks Spanish	explicitIgnorance
0.65	13	target	200	23	female	English	AmE	"""":""""""""}	prove	Zoe calculated the tip	explicitIgnorance
0.12	14	target	200	23	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.18	15	target	200	23	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0.59	16	target	200	23	female	English	AmE	"""":""""""""}	reveal	Sophia got a tattoo	explicitIgnorance
0.62	17	target	200	23	female	English	AmE	"""":""""""""}	announce	Frank got a cat	explicitIgnorance
0.53	18	target	200	23	female	English	AmE	"""":""""""""}	think	Owen shoveled snow last winter	factH
0.22	19	target	200	23	female	English	AmE	"""":""""""""}	inform	Mary is pregnant	factL
