workerid,proliferate.condition.x,block,content,question_type,response,rt,short_trigger,slide_number_in_experiment,trigger,trigger_class,error.x,proliferate.condition.y,age,american,comments,gender,error.y,trial
1119,default,block2,jon,projective,0.96,16405,say,37,say,C,NA,default,22,Yes,NONE,Female,NA,32
1119,default,block2,zoe,projective,0.02,20130,discover,38,discover,C,NA,default,22,Yes,NONE,Female,NA,33
1119,default,block2,mia,projective,0.8,10137,demonstrate,39,demonstrate,C,NA,default,22,Yes,NONE,Female,NA,34
1119,default,block2,pizza,projective,0.99,8424,MC,40,MC,MC,NA,default,22,Yes,NONE,Female,NA,35
1119,default,block2,kids,projective,0.97,14982,MC,41,MC,MC,NA,default,22,Yes,NONE,Female,NA,36
1119,default,block2,mary,projective,0.96,8494,be_annoyed,42,be_annoyed,C,NA,default,22,Yes,NONE,Female,NA,37
1119,default,block2,danny,projective,0.04,17848,pretend,43,pretend,C,NA,default,22,Yes,NONE,Female,NA,38
1119,default,block2,emily,projective,0.04,13695,prove,44,prove,C,NA,default,22,Yes,NONE,Female,NA,39
1119,default,block2,julian,projective,0.03,8375,reveal,45,reveal,C,NA,default,22,Yes,NONE,Female,NA,40
1119,default,block2,ballet,projective,0.97,7361,MC,46,MC,MC,NA,default,22,Yes,NONE,Female,NA,41
1119,default,block2,olivia,projective,0.06,11281,hear,47,hear,C,NA,default,22,Yes,NONE,Female,NA,42
1119,default,block2,owen,projective,0.04,21334,admit,48,admit,C,NA,default,22,Yes,NONE,Female,NA,43
1119,default,block2,charley,projective,0.04,26987,think,49,think,C,NA,default,22,Yes,NONE,Female,NA,44
1119,default,block2,grace,projective,0.04,9706,confess,50,confess,C,NA,default,22,Yes,NONE,Female,NA,45
1119,default,block2,sophia,projective,0.48,13444,announce,51,announce,C,NA,default,22,Yes,NONE,Female,NA,46
1119,default,block2,jackson,projective,0.97,15254,inform,52,inform,C,NA,default,22,Yes,NONE,Female,NA,47
1119,default,block2,isabella,projective,0.03,14704,suggest,53,suggest,C,NA,default,22,Yes,NONE,Female,NA,48
1119,default,block2,josh,projective,0.96,21153,know,54,know,C,NA,default,22,Yes,NONE,Female,NA,49
1119,default,block2,muffins,projective,0.95,7048,MC,55,MC,MC,NA,default,22,Yes,NONE,Female,NA,50
1119,default,block2,garage,projective,0.97,7552,MC,56,MC,MC,NA,default,22,Yes,NONE,Female,NA,51
1119,default,block2,emma,projective,0.02,20411,confirm,57,confirm,C,NA,default,22,Yes,NONE,Female,NA,52
1117,default,block1,frank,projective,0.07,13529,announce,5,announce,C,NA,default,22,Yes,NA,Female,NA,1
1117,default,block1,tony,projective,0.25,10681,say,6,say,C,NA,default,22,Yes,NA,Female,NA,2
1117,default,block1,isabella,projective,0.68,17464,prove,7,prove,C,NA,default,22,Yes,NA,Female,NA,3
1117,default,block1,zoe,projective,0.74,4756,know,8,know,C,NA,default,22,Yes,NA,Female,NA,4
1117,default,block1,hat,projective,0.95,6832,MC,9,MC,MC,NA,default,22,Yes,NA,Female,NA,5
1117,default,block1,danny,projective,0.71,9534,be_right,10,be_right,C,NA,default,22,Yes,NA,Female,NA,6
1117,default,block1,emily,projective,0.8,7117,confess,11,confess,C,NA,default,22,Yes,NA,Female,NA,7
1117,default,block1,jackson,projective,0.32,6587,be_annoyed,12,be_annoyed,C,NA,default,22,Yes,NA,Female,NA,8
1117,default,block1,kids,projective,0.97,7211,MC,13,MC,MC,NA,default,22,Yes,NA,Female,NA,9
1117,default,block1,muffins,projective,0.99,5927,MC,14,MC,MC,NA,default,22,Yes,NA,Female,NA,10
1117,default,block1,ballet,projective,0.98,4657,MC,15,MC,MC,NA,default,22,Yes,NA,Female,NA,11
1117,default,block1,sophia,projective,0.58,8254,admit,16,admit,C,NA,default,22,Yes,NA,Female,NA,12
1117,default,block1,olivia,projective,0.31,6354,think,17,think,C,NA,default,22,Yes,NA,Female,NA,13
1117,default,block1,jayden,projective,0.36,5849,see,18,see,C,NA,default,22,Yes,NA,Female,NA,14
1117,default,block1,mary,projective,0.34,4484,reveal,19,reveal,C,NA,default,22,Yes,NA,Female,NA,15
1117,default,block1,jon,projective,0.34,4956,establish,20,establish,C,NA,default,22,Yes,NA,Female,NA,16
1117,default,block1,charley,projective,0.23,5863,pretend,21,pretend,C,NA,default,22,Yes,NA,Female,NA,17
1117,default,block1,grace,projective,0.65,7191,discover,22,discover,C,NA,default,22,Yes,NA,Female,NA,18
1117,default,block1,josie,projective,0.89,8554,inform,23,inform,C,NA,default,22,Yes,NA,Female,NA,19
1117,default,block1,josh,projective,0.79,8443,acknowledge,24,acknowledge,C,NA,default,22,Yes,NA,Female,NA,20
1117,default,block1,pizza,projective,1,5920,MC,25,MC,MC,NA,default,22,Yes,NA,Female,NA,21
1117,default,block1,julian,projective,0.52,5510,hear,26,hear,C,NA,default,22,Yes,NA,Female,NA,22
1117,default,block1,emma,projective,0.32,6257,suggest,27,suggest,C,NA,default,22,Yes,NA,Female,NA,23
1117,default,block1,garage,projective,1,10492,MC,28,MC,MC,NA,default,22,Yes,NA,Female,NA,24
1117,default,block1,mia,projective,0.27,6903,demonstrate,29,demonstrate,C,NA,default,22,Yes,NA,Female,NA,25
1117,default,block1,owen,projective,0.75,3412,confirm,30,confirm,C,NA,default,22,Yes,NA,Female,NA,26
1117,default,block2,ballet,ai,0.43,17922,MC,32,MC,MC,NA,default,22,Yes,NA,Female,NA,27
1117,default,block2,jon,ai,0.8,9590,establish,33,establish,C,NA,default,22,Yes,NA,Female,NA,28
1117,default,block2,mia,ai,0.74,5844,demonstrate,34,demonstrate,C,NA,default,22,Yes,NA,Female,NA,29
1117,default,block2,tony,ai,0.63,16161,say,35,say,C,NA,default,22,Yes,NA,Female,NA,30
1117,default,block2,grace,ai,0.62,10168,discover,36,discover,C,NA,default,22,Yes,NA,Female,NA,31
1117,default,block2,danny,ai,0.69,8327,be_right,37,be_right,C,NA,default,22,Yes,NA,Female,NA,32
1117,default,block2,emily,ai,0.34,11178,confess,38,confess,C,NA,default,22,Yes,NA,Female,NA,33
1117,default,block2,frank,ai,0.6,6738,announce,39,announce,C,NA,default,22,Yes,NA,Female,NA,34
1117,default,block2,kids,ai,0.35,12919,MC,40,MC,MC,NA,default,22,Yes,NA,Female,NA,35
1117,default,block2,owen,ai,0.34,7271,confirm,41,confirm,C,NA,default,22,Yes,NA,Female,NA,36
1117,default,block2,emma,ai,0.38,7338,suggest,42,suggest,C,NA,default,22,Yes,NA,Female,NA,37
1117,default,block2,zoe,ai,0.4,5437,know,43,know,C,NA,default,22,Yes,NA,Female,NA,38
1117,default,block2,isabella,ai,0.45,9381,prove,44,prove,C,NA,default,22,Yes,NA,Female,NA,39
1117,default,block2,garage,ai,0.48,9920,MC,45,MC,MC,NA,default,22,Yes,NA,Female,NA,40
1117,default,block2,julian,ai,0.4,7732,hear,46,hear,C,NA,default,22,Yes,NA,Female,NA,41
1117,default,block2,charley,ai,0.7,9738,pretend,47,pretend,C,NA,default,22,Yes,NA,Female,NA,42
1117,default,block2,jackson,ai,0.4,10237,be_annoyed,48,be_annoyed,C,NA,default,22,Yes,NA,Female,NA,43
1117,default,block2,sophia,ai,0.43,5813,admit,49,admit,C,NA,default,22,Yes,NA,Female,NA,44
1117,default,block2,muffins,ai,0.37,7078,MC,50,MC,MC,NA,default,22,Yes,NA,Female,NA,45
1117,default,block2,mary,ai,0.38,5916,reveal,51,reveal,C,NA,default,22,Yes,NA,Female,NA,46
1117,default,block2,jayden,ai,0.34,3965,see,52,see,C,NA,default,22,Yes,NA,Female,NA,47
1117,default,block2,josie,ai,0.39,4571,inform,53,inform,C,NA,default,22,Yes,NA,Female,NA,48
1117,default,block2,pizza,ai,0.38,6164,MC,54,MC,MC,NA,default,22,Yes,NA,Female,NA,49
1117,default,block2,olivia,ai,0.36,6231,think,55,think,C,NA,default,22,Yes,NA,Female,NA,50
1117,default,block2,hat,ai,0.38,5474,MC,56,MC,MC,NA,default,22,Yes,NA,Female,NA,51
1117,default,block2,josh,ai,0.64,5735,acknowledge,57,acknowledge,C,NA,default,22,Yes,NA,Female,NA,52
1113,default,block1,zoe,projective,0.41,13170,prove,5,prove,C,NA,default,38,Yes,NA,Female,NA,1
1113,default,block1,jackson,projective,0.22,10071,establish,6,establish,C,NA,default,38,Yes,NA,Female,NA,2
1113,default,block1,garage,projective,1,5627,MC,7,MC,MC,NA,default,38,Yes,NA,Female,NA,3
1113,default,block1,danny,projective,0.18,7650,confess,8,confess,C,NA,default,38,Yes,NA,Female,NA,4
1113,default,block1,charley,projective,0.19,4451,think,9,think,C,NA,default,38,Yes,NA,Female,NA,5
1113,default,block1,muffins,projective,1,3840,MC,10,MC,MC,NA,default,38,Yes,NA,Female,NA,6
1113,default,block1,ballet,projective,0.99,5945,MC,11,MC,MC,NA,default,38,Yes,NA,Female,NA,7
1113,default,block1,hat,projective,0.98,4543,MC,12,MC,MC,NA,default,38,Yes,NA,Female,NA,8
1113,default,block1,josh,projective,0.07,4490,discover,13,discover,C,NA,default,38,Yes,NA,Female,NA,9
1113,default,block1,jayden,projective,0.08,4305,confirm,14,confirm,C,NA,default,38,Yes,NA,Female,NA,10
1113,default,block1,pizza,projective,0.97,4312,MC,15,MC,MC,NA,default,38,Yes,NA,Female,NA,11
1113,default,block1,mia,projective,0.1,5016,know,16,know,C,NA,default,38,Yes,NA,Female,NA,12
1113,default,block1,owen,projective,0.1,6030,announce,17,announce,C,NA,default,38,Yes,NA,Female,NA,13
1113,default,block1,tony,projective,0.3,9136,reveal,18,reveal,C,NA,default,38,Yes,NA,Female,NA,14
1113,default,block1,emma,projective,0.14,11024,pretend,19,pretend,C,NA,default,38,Yes,NA,Female,NA,15
1113,default,block1,frank,projective,0.46,8043,be_right,20,be_right,C,NA,default,38,Yes,NA,Female,NA,16
1113,default,block1,josie,projective,0.38,3941,say,21,say,C,NA,default,38,Yes,NA,Female,NA,17
1113,default,block1,isabella,projective,0.57,5057,hear,22,hear,C,NA,default,38,Yes,NA,Female,NA,18
1113,default,block1,kids,projective,0.98,4134,MC,23,MC,MC,NA,default,38,Yes,NA,Female,NA,19
1113,default,block1,grace,projective,0.51,6604,see,24,see,C,NA,default,38,Yes,NA,Female,NA,20
1113,default,block1,jon,projective,0.19,3724,be_annoyed,25,be_annoyed,C,NA,default,38,Yes,NA,Female,NA,21
1113,default,block1,mary,projective,0.13,4026,acknowledge,26,acknowledge,C,NA,default,38,Yes,NA,Female,NA,22
1113,default,block1,olivia,projective,0.09,2531,suggest,27,suggest,C,NA,default,38,Yes,NA,Female,NA,23
1113,default,block1,emily,projective,0.04,4259,inform,28,inform,C,NA,default,38,Yes,NA,Female,NA,24
1113,default,block1,sophia,projective,0.07,3327,admit,29,admit,C,NA,default,38,Yes,NA,Female,NA,25
1113,default,block1,julian,projective,0.13,2843,demonstrate,30,demonstrate,C,NA,default,38,Yes,NA,Female,NA,26
1113,default,block2,jackson,ai,0.92,11392,establish,32,establish,C,NA,default,38,Yes,NA,Female,NA,27
1113,default,block2,hat,ai,0.92,5759,MC,33,MC,MC,NA,default,38,Yes,NA,Female,NA,28
1113,default,block2,owen,ai,0.14,5962,announce,34,announce,C,NA,default,38,Yes,NA,Female,NA,29
1113,default,block2,grace,ai,0.88,5783,see,35,see,C,NA,default,38,Yes,NA,Female,NA,30
1113,default,block2,zoe,ai,0.48,7989,prove,36,prove,C,NA,default,38,Yes,NA,Female,NA,31
1113,default,block2,danny,ai,0.71,5706,confess,37,confess,C,NA,default,38,Yes,NA,Female,NA,32
1113,default,block2,emily,ai,0.74,4134,inform,38,inform,C,NA,default,38,Yes,NA,Female,NA,33
1113,default,block2,kids,ai,0.09,6549,MC,39,MC,MC,NA,default,38,Yes,NA,Female,NA,34
1113,default,block2,mia,ai,0.77,4025,know,40,know,C,NA,default,38,Yes,NA,Female,NA,35
1113,default,block2,isabella,ai,0.75,3422,hear,41,hear,C,NA,default,38,Yes,NA,Female,NA,36
1113,default,block2,emma,ai,0.79,3321,pretend,42,pretend,C,NA,default,38,Yes,NA,Female,NA,37
1113,default,block2,tony,ai,0.83,3353,reveal,43,reveal,C,NA,default,38,Yes,NA,Female,NA,38
1113,default,block2,mary,ai,0.86,3359,acknowledge,44,acknowledge,C,NA,default,38,Yes,NA,Female,NA,39
1113,default,block2,jon,ai,0.91,5211,be_annoyed,45,be_annoyed,C,NA,default,38,Yes,NA,Female,NA,40
1113,default,block2,garage,ai,0.88,4436,MC,46,MC,MC,NA,default,38,Yes,NA,Female,NA,41
1113,default,block2,olivia,ai,0.87,4490,suggest,47,suggest,C,NA,default,38,Yes,NA,Female,NA,42
1113,default,block2,ballet,ai,0.92,3651,MC,48,MC,MC,NA,default,38,Yes,NA,Female,NA,43
1113,default,block2,muffins,ai,0.3,6094,MC,49,MC,MC,NA,default,38,Yes,NA,Female,NA,44
1113,default,block2,julian,ai,0.82,3498,demonstrate,50,demonstrate,C,NA,default,38,Yes,NA,Female,NA,45
1113,default,block2,jayden,ai,0.85,5876,confirm,51,confirm,C,NA,default,38,Yes,NA,Female,NA,46
1113,default,block2,josh,ai,0.84,3646,discover,52,discover,C,NA,default,38,Yes,NA,Female,NA,47
1113,default,block2,josie,ai,0.81,5048,say,53,say,C,NA,default,38,Yes,NA,Female,NA,48
1113,default,block2,pizza,ai,0.3,5907,MC,54,MC,MC,NA,default,38,Yes,NA,Female,NA,49
1113,default,block2,sophia,ai,0.71,3118,admit,55,admit,C,NA,default,38,Yes,NA,Female,NA,50
1113,default,block2,charley,ai,0.78,6434,think,56,think,C,NA,default,38,Yes,NA,Female,NA,51
1113,default,block2,frank,ai,0.85,3856,be_right,57,be_right,C,NA,default,38,Yes,NA,Female,NA,52
1123,default,block1,jon,projective,0.77,13223,discover,5,discover,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,1
1123,default,block1,kids,projective,1,8352,MC,6,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,2
1123,default,block1,owen,projective,0.16,6418,think,7,think,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,3
1123,default,block1,mia,projective,0.23,7626,hear,8,hear,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,4
1123,default,block1,emma,projective,0.21,10694,suggest,9,suggest,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,5
1123,default,block1,garage,projective,1,7170,MC,10,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,6
1123,default,block1,isabella,projective,0.21,8004,confirm,11,confirm,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,7
1123,default,block1,emily,projective,0.25,6580,pretend,12,pretend,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,8
1123,default,block1,charley,projective,0.19,6064,establish,13,establish,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,9
1123,default,block1,jackson,projective,0.21,2166,acknowledge,14,acknowledge,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,10
1123,default,block1,hat,projective,1,3656,MC,15,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,11
1123,default,block1,olivia,projective,0.2,6822,know,16,know,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,12
1123,default,block1,mary,projective,0.24,3048,announce,17,announce,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,13
1123,default,block1,josie,projective,0.2,4840,reveal,18,reveal,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,14
1123,default,block1,sophia,projective,0.2,2593,be_annoyed,19,be_annoyed,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,15
1123,default,block1,josh,projective,0.19,2969,be_right,20,be_right,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,16
1123,default,block1,grace,projective,0.23,5895,inform,21,inform,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,17
1123,default,block1,danny,projective,0.09,4699,say,22,say,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,18
1123,default,block1,zoe,projective,0.16,3620,prove,23,prove,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,19
1123,default,block1,jayden,projective,0.2,8098,see,24,see,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,20
1123,default,block1,pizza,projective,0.97,3210,MC,25,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,21
1123,default,block1,frank,projective,0.16,1718,demonstrate,26,demonstrate,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,22
1123,default,block1,julian,projective,0.2,1314,admit,27,admit,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,23
1123,default,block1,muffins,projective,1,4594,MC,28,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,24
1123,default,block1,tony,projective,0.15,2908,confess,29,confess,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,25
1123,default,block1,ballet,projective,1,6612,MC,30,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,26
1123,default,block2,muffins,ai,0.53,15459,MC,32,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,27
1123,default,block2,olivia,ai,0.84,16612,know,33,know,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,28
1123,default,block2,garage,ai,0.17,6758,MC,34,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,29
1123,default,block2,zoe,ai,0.17,1336,prove,35,prove,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,30
1123,default,block2,charley,ai,0.81,976,establish,36,establish,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,31
1123,default,block2,frank,ai,0.76,835,demonstrate,37,demonstrate,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,32
1123,default,block2,jon,ai,0.81,818,discover,38,discover,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,33
1123,default,block2,ballet,ai,0.11,1058,MC,39,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,34
1123,default,block2,josie,ai,0.76,1014,reveal,40,reveal,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,35
1123,default,block2,danny,ai,0.85,1546,say,41,say,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,36
1123,default,block2,kids,ai,0.16,1384,MC,42,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,37
1123,default,block2,isabella,ai,0.16,1106,confirm,43,confirm,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,38
1123,default,block2,hat,ai,0.86,1098,MC,44,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,39
1123,default,block2,jackson,ai,0.86,887,acknowledge,45,acknowledge,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,40
1123,default,block2,mia,ai,0.85,874,hear,46,hear,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,41
1123,default,block2,emma,ai,0.15,973,suggest,47,suggest,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,42
1123,default,block2,mary,ai,0.16,1338,announce,48,announce,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,43
1123,default,block2,sophia,ai,0.16,928,be_annoyed,49,be_annoyed,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,44
1123,default,block2,jayden,ai,0.79,1058,see,50,see,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,45
1123,default,block2,owen,ai,0.82,1570,think,51,think,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,46
1123,default,block2,pizza,ai,0.15,898,MC,52,MC,MC,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,47
1123,default,block2,emily,ai,0.13,703,pretend,53,pretend,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,48
1123,default,block2,grace,ai,0.19,750,inform,54,inform,C,NA,default,26,Yes,The 'sound good' was extremely confusing. I did not understand the intent 'sound good' was supposed to have on how I was to answer the 2nd half. Poorly worded.,Male,NA,49
