rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	task	correct	accuracy	participant_id	ctime
8372	<b>Brenda:</b><em> ""Charley lives in Mexico. Did Anna establish that Charley speaks Spanish?""</em>	100	html-slider-response	35	304492	0.0-6.0-0.25	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7520	<b>Arlen:</b><em> ""I don't know if anyone was playing outside with the kids. Was it Jack who was playing outside with the kids?""</em>	0	html-slider-response	36	312014	0.0-6.0-0.26	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
10040	<b>Rebecca:</b><em> ""I don't know if Jayden rented a car. Did Stephanie suggest that Jayden rented a car?""</em>	100	html-slider-response	37	322057	0.0-6.0-0.27	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
6654	<b>Erin:</b><em> ""Tony has been sober for 20 years. Did Rebecca confess that Tony had a drink last night?""</em>	100	html-slider-response	38	328713	0.0-6.0-0.28	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
5236	<b>Cynthia:</b><em> ""I don't know if Isabella ate a steak on Sunday. Does Kevin think that Isabella ate a steak on Sunday?""</em>	100	html-slider-response	39	333953	0.0-6.0-0.29	50	target	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
16258	NA	{""P0_Q0"":null,""age"":""29"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}	survey	40	350293	0.0-7.0	NA	demographics	NA	[]	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
7782	<p>You're done! Thanks for participating! <br>
  The completion code is <b>C1HNU5GM</b>.</p>	0	html-button-response	41	358076	0.0-8.0	NA	NA	NA	NA	e5bedc53-f2ef-409b-b9eb-471793d241f1	2023-07-05 15:59:13 CEST
17651	<h3>Instructions</h3><p style='text-align:left'>In this experiment, you will read what different people say and rate how natural that sounds. Here's an example from Leah:<br><br><b>Leah:</b> <i>""I have no idea if Mitchell got a poodle. Did Frank suggest that Mitchell wanted to get a poodle?""</i><br> <br> Leah first made a statement and then asked a question. We ask you to rate how natural the question sounds in the context of the statement. You will give your answer on a sliding scale from ""totally unnatural"" to ""totally natural"".<br><br> We start off with four practice examples. Then you will rate 30 examples.<br><br><b> Payment:</b> You will be paid $1.35 to participate in this experiment, which will take about 5 minutes to complete.<br> <p style='text-align:left' font size=""1""> <b> Consent:</b> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at judith.tonhauser@ling.uni-stuttgart.de.</p>	0	html-button-response	0	17658	0.0-0.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5907	<b>First practice example</b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i>	100	html-slider-response	1	23566	0.0-1.0-0.0	50	practice	TRUE	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
1665	<p style='text-align:left'><b> Good response! </b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i> <br><br> Katia's question sounds very natural in this context because it is natural for Katia to ask whether Natalie is from the USA if Katia doesn't know where Natalie is from.</p>	0	html-button-response	2	25232	0.0-1.0-2.0-0.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4875	<p style='text-align:left'><b>Here's the second practice example.</b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i></p>	2	html-slider-response	3	30108	0.0-2.0-0.0	50	practice	TRUE	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
1599	<p style='text-align:left'><b> Good response! </b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i> <br><br> Xenia's question does not sound very natural in this context. Her question implies that she has a sister, but she stated that she doesn't have any sisters.</p>	0	html-button-response	4	31708	0.0-2.0-2.0-0.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
6103	<p style='text-align:left'><b>Here's the third practice example.</b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i></p>	95	html-slider-response	5	37812	0.0-3.0-0.0	50	practice	TRUE	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
1595	<p style='text-align:left'><b> Good response! </b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i> <br><br> Kerstin's question sounds very natural in this context.</p>	0	html-button-response	6	39408	0.0-3.0-2.0-0.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
11737	<p style='text-align:left'><b> Here's the last practice example.</b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i></p>	0	html-slider-response	7	51146	0.0-4.0-0.0	50	practice	TRUE	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
1281	<p style='text-align:left'><b> Good response! </b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i> <br><br> Mirko's question does not sound very natural in this context. Mirko's question implies that he thinks that Anna has dogs, but he stated that he doesn't know whether Anna has any dogs.</p>	0	html-button-response	8	52428	0.0-4.0-2.0-0.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4297	<p style='text-align:left'><b>Great, you're ready to go!</b><br>To make sure you are paying attention, we have included some examples for which we know the right answer. If you read the examples carefully, you will definitely get those right.<br></p>	0	html-button-response	9	56726	0.0-5.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
12009	<b>Autumn:</b><em> ""I don't know if John was ever reading ""Dune"". Has John recently continued reading ""Dune""?""</em>	2	html-slider-response	10	68735	0.0-6.0-0.0	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
7192	<b>Ruth:</b><em> ""Emma is in first grade. Did Justin admit that Emma studied on Saturday morning?""</em>	2	html-slider-response	11	75929	0.0-6.0-0.1	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
6865	<b>Patrick:</b><em> ""Zoe is 5 years old. Did Tim announce that Zoe calculated the tip?""</em>	55	html-slider-response	12	82795	0.0-6.0-0.2	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
8929	<b>Cici:</b><em> ""I don't know if Stephen was ever in the habit of vaping. Has Stephen recently stopped vaping?""</em>	91	html-slider-response	13	91725	0.0-6.0-0.3	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4979	<b>Christopher:</b><em> ""I don't know if Danny ate the last cupcake. Did Amanda suggest that Danny ate the last cupcake?""</em>	98	html-slider-response	14	96705	0.0-6.0-0.4	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5245	<b>Nicole:</b><em> ""I don't know if Grace visited her sister. Did Andrew say that Grace visited her sister?""</em>	100	html-slider-response	15	101951	0.0-6.0-0.5	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
7419	<b>Pax:</b><em> ""Hendrick was looking to buy a car. Was Hendrick's car expensive?""</em>	87	html-slider-response	16	109371	0.0-6.0-0.6	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
7291	<b>Ryan:</b><em> ""I don't know if Olivia sleeps until noon. Did Jerry reveal that Olivia sleeps until noon?""</em>	78	html-slider-response	17	116663	0.0-6.0-0.7	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
8223	<b>Joseph:</b><em> ""I don't know if Isabella ate a steak on Sunday. Does Kevin think that Isabella ate a steak on Sunday?""</em>	100	html-slider-response	18	124887	0.0-6.0-0.8	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
3433	<b>Ike:</b><em> ""Mary visited her aunt yesterday. Is Mary's aunt sick?""</em>	100	html-slider-response	19	128321	0.0-6.0-0.9	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
6445	<b>Deborah:</b><em> ""Jackson is training for a marathon. Did Laura inform Sam that Jackson ran 10 miles?""</em>	61	html-slider-response	20	134767	0.0-6.0-0.10	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
6677	<b>Samuel:</b><em> ""Josh is a 5-year old boy. Did Sharon establish that Josh learned to ride a bike yesterday?""</em>	53	html-slider-response	21	141445	0.0-6.0-0.11	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
7947	<b>Arlen:</b><em> ""I don't know if anyone was playing outside with the kids. Was it Jack who was playing outside with the kids?""</em>	11	html-slider-response	22	149393	0.0-6.0-0.12	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4633	<b>Marlo:</b><em> ""I don't know if this pizza has mushrooms on it. Does this pizza have mushrooms on it?""</em>	67	html-slider-response	23	154027	0.0-6.0-0.13	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
6651	<b>Kathleen:</b><em> ""I don't know if Mia drank 2 cocktails last night. Did Ray acknowledge that Mia drank 2 cocktails last night?""</em>	46	html-slider-response	24	160679	0.0-6.0-0.14	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
8557	<b>Brenda:</b><em> ""I don't know if Frank got a cat. Did Melissa pretend that Frank got a cat?""</em>	39	html-slider-response	25	169237	0.0-6.0-0.15	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5947	<b>Sandra:</b><em> ""I don't know if Julian dances salsa. Did Kathleen demonstrate that Julian dances salsa?""</em>	13	html-slider-response	26	175185	0.0-6.0-0.16	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
7849	<b>Edward:</b><em> ""Charley lives in Mexico. Did Anna prove that Charley speaks Spanish?""</em>	56	html-slider-response	27	183036	0.0-6.0-0.17	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
6033	<b>Saskia:</b><em> ""I don't know if William was ever interested in history. Is William interested in history again?""</em>	3	html-slider-response	28	189070	0.0-6.0-0.18	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
8035	<b>Samuel:</b><em> ""Mary is a middle school student. Did Patrick confirm that Mary is pregnant?""</em>	88	html-slider-response	29	197106	0.0-6.0-0.19	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4759	<b>Finn:</b><em> ""I don't know if Samantha has a new hat. Does Samantha have a new hat?""</em>	100	html-slider-response	30	201866	0.0-6.0-0.20	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
7787	<b>Leia:</b><em> ""I don't know if Ann plays any instrument. Does Ann play the flute, too?""</em>	6	html-slider-response	31	209654	0.0-6.0-0.21	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4079	<b>Dalton:</b><em> ""I don't know if Svenja plays any sport. Does Svenja also play soccer?""</em>	5	html-slider-response	32	213734	0.0-6.0-0.22	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5163	<b>Heather:</b><em> ""Josie loves France. Did Scott hear that Josie went on vacation to France?""</em>	100	html-slider-response	33	218898	0.0-6.0-0.23	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4239	<b>Tyler:</b><em> ""I don't know if Emily bought a car yesterday. Is Brian annoyed that Emily bought a car yesterday?""</em>	0	html-slider-response	34	223138	0.0-6.0-0.24	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4707	<b>Raymond:</b><em> ""I don't know if Tony had a drink last night. Did Rebecca see that Tony had a drink last night?""</em>	84	html-slider-response	35	227846	0.0-6.0-0.25	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5191	<b>Fran:</b><em> ""I don't know if Sophia got a tattoo. Does Ben know that Sophia got a tattoo?""</em>	0	html-slider-response	36	233038	0.0-6.0-0.26	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
3369	<b>Erin:</b><em> ""I don't know if Jon walks to work. Did Ruth discover that Jon walks to work?""</em>	68	html-slider-response	37	236408	0.0-6.0-0.27	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5897	<b>Ronald:</b><em> ""Owen lives in New Orleans. Did Cynthia confess that Owen shoveled snow last winter?""</em>	25	html-slider-response	38	242306	0.0-6.0-0.28	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
4551	<b>Lisa:</b><em> ""I don't know if Jayden rented a car. Is Stephanie right that Jayden rented a car?""</em>	95	html-slider-response	39	246858	0.0-6.0-0.29	50	target	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
8715	NA	{""P0_Q0"":null,""age"":""39"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}	survey	40	255621	0.0-7.0	NA	demographics	NA	[]	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
5926	<p>You're done! Thanks for participating! <br>
  The completion code is <b>C1HNU5GM</b>.</p>	0	html-button-response	41	261548	0.0-8.0	NA	NA	NA	NA	50cd8088-2c5d-4a51-81f8-df059b27bb6b	2023-07-05 16:00:25 CEST
23398	<h3>Instructions</h3><p style='text-align:left'>In this experiment, you will read what different people say and rate how natural that sounds. Here's an example from Leah:<br><br><b>Leah:</b> <i>""I have no idea if Mitchell got a poodle. Did Frank suggest that Mitchell wanted to get a poodle?""</i><br> <br> Leah first made a statement and then asked a question. We ask you to rate how natural the question sounds in the context of the statement. You will give your answer on a sliding scale from ""totally unnatural"" to ""totally natural"".<br><br> We start off with four practice examples. Then you will rate 30 examples.<br><br><b> Payment:</b> You will be paid $1.35 to participate in this experiment, which will take about 5 minutes to complete.<br> <p style='text-align:left' font size=""1""> <b> Consent:</b> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at judith.tonhauser@ling.uni-stuttgart.de.</p>	0	html-button-response	0	23402	0.0-0.0	NA	NA	NA	NA	1b6f2a51-cfda-4d96-a41c-83d7bae4ef89	2023-07-05 16:05:38 CEST
20179	<b>First practice example</b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i>	75	html-slider-response	1	43585	0.0-1.0-0.0	50	practice	TRUE	NA	1b6f2a51-cfda-4d96-a41c-83d7bae4ef89	2023-07-05 16:05:38 CEST
7413	<p style='text-align:left'><b> Good response! </b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i> <br><br> Katia's question sounds very natural in this context because it is natural for Katia to ask whether Natalie is from the USA if Katia doesn't know where Natalie is from.</p>	0	html-button-response	2	51000	0.0-1.0-2.0-0.0	NA	NA	NA	NA	1b6f2a51-cfda-4d96-a41c-83d7bae4ef89	2023-07-05 16:05:38 CEST
