workerid,proliferate.condition,age,american,comments,gender,language,error
1749,default,33,Yes,"Thank you, hopefully I did this right.",Male,English,
1926,default,30,Yes,,Female,english,
1913,default,31,Yes,,Male,english,
1989,default,26,Yes,,Female,ENGLISH,
1983,default,29,Yes,,Female,english,
1850,default,26,Yes,,Female,English,
1807,default,23,Yes,,Female,English,
1754,default,29,Yes,,Female,English,
1830,default,54,Yes,"Being an English speaker, I didn't consider any of them to be correct responses in the sense of English language. However, some of them were okay in a broad general sense.",Female,English,
1746,default,32,Yes,N/A,Male,English,
1954,default,46,Yes,,Other,English,
1778,default,33,Yes,,Female,English,
1809,default,42,Yes,"None, thank you",Male,English,
1742,default,48,Yes,I like it ,Male,English,
1744,default,45,Yes,,Male,English,
1906,default,30,Yes,,Female,English,
1735,default,42,Yes,Thanks,Male,English,
1775,default,23,Yes,,Female,English,
1803,default,53,Yes,,Male,EN,
1774,default,29,Yes,,Female,English,
1974,default,18,Yes,,Female,english,
1776,default,41,Yes,I have no comments. ,Female,English,
1730,default,31,Yes,,Male,english,
1885,default,39,Yes,,Male,English,
1862,default,२६,Yes,,Female,English,
1758,default,33,Yes,"No comments, thanks!",Female,English,
1761,default,40,Yes,na,Female,English,
1923,default,29,Yes,,Female,english,
1793,default,26,Yes,,Male,English,
1900,default,22,Yes,,Male,English,
1791,default,30,Yes,,Female,English,
1952,default,22,Yes,,Male,English,
1802,default,39,Yes,,,english,
1815,default,34,Yes,,Female,English,
1899,default,37,Yes,,Female,English,
1768,default,44,Yes,,Male,english,
1814,default,38,Yes,,Female,English,
1969,default,24,Yes,N/A,Female,English,
1910,default,19,Yes,,Male,English,
1930,default,35,Yes,n/a,Female,English,
1820,default,51,Yes,,Male,English,
1879,default,25,Yes,,Male,English,
1979,default,32,Yes,,Male,English,
1755,default,41,Yes,,Female,English,
1986,default,30,Yes,,Female,english,
1943,default,23,Yes,,Female,English,
1859,default,25,Yes,,Female,English,
1861,default,24,Yes,Hope my answers help your research!,Female,English,
1925,default,36,Yes,,Female,English,
1831,default,29,Yes,N/A,Male,English,
1894,default,29,Yes,,Male,English,
1772,default,27,Yes,,Female,English,
1804,default,41,Yes,Thank you for allowing me to participate. Best wishes in your research!,Male,english,
1922,default,50,Yes,thanks,Female,English,
1765,default,24,Yes,,Female,english,
1734,default,36,Yes,,Male,english,
1808,default,27,Yes,,Other,English,
1901,default,36,Yes,I try not to assume certain details. Her example when one person doesn't verify or have a witness of something doesn't mean they don't already know the truth of the matter. So for the sake of the study I just assumed that they had no other information other than that which was stated. ,Male,English,
1797,default,29,Yes,no ,Male,English,
1883,default,35,Yes,,Female,English,
1731,default,47,Yes,"None of the responses seemed like they would be common responses to the statements, so it was hard to determine which were good or not good.",Female,english,
1942,default,45,Yes,,Male,English,
1756,default,46,Yes,,Female,English,
1751,default,33,Yes,,Male,English,
1987,default,34,Yes,,Female,English,
1905,default,27,Yes,"I'm assuming this study was looking at ambiguity of language but dang were some of those difficult, especially ""___ didn't pretend that ____ had a drink last night."" I had to read that sentence so many times just to make sense of why someone would say it. ",Male,English,
1956,default,28,Yes,,Male,English,
1856,default,35,Yes,African American Vernacular English,Female,English,
1839,default,19,Yes,,Female,english,
1848,default,54,Yes,"Interesting, but very poor English Usage.",Female,English,
1944,default,41,Yes,,Male,English,
1980,default,25,Yes,"The final half of the quiz felt way more straightforward and comprehensive, compared to the first half where some responses made sense and some not so much.",Male,English,
1972,default,42,Yes,It was a great topic study.,Male,English,
1750,default,39,Yes,,Female,English,
1941,default,32,Yes,,Female,English,
1871,default,34,Yes,,Male,English,
1736,default,25,Yes,,Male,English,
1909,default,39,Yes,,Female,English,
1889,default,40,Yes,,Female,English,
1853,default,29,Yes,,Male,English,
1915,default,21,Yes,,Female,English,
1877,default,22,Yes,"Honestly some of the choices were confusing, a numbered scale instead of a sliding one might offer better answers as to where the responses should be.",Male,English,
1842,default,33,Yes,,Female,English,
1938,default,25,Yes,,Male,English,
1818,default,51,No,,Female,English,
1896,default,32,Yes,,Female,English,
1919,default,24,Yes,,Female,English,
1907,default,35,Yes,,Female,english,
1849,default,35,Yes,,Male,English,
1740,default,34,Yes,,Female,english,
1825,default,36,Yes,,Male,English,
1887,default,37,Yes,No comments. ,Male,English,
1805,default,37,Yes,,Male,English,
1828,default,34,Yes,,Male,English,
1847,default,35,Yes,,Male,English,
1753,default,18,Yes,,Female,english,
1759,default,34,Yes,"Awkward,’people wouldn’t speak like that ",Male,English,
1881,default,43,Yes,nothing,Male,english,
1917,default,36,Yes,,Female,english,
1940,default,51,Yes,,Female,English,
1819,default,33,Yes,"The structure of sentences was very odd, cause while grammatically correct, most people dont speak in such an unusual format. However, I assume that was kind of the point of the study. ",Male,English,
1870,default,34,Yes,nice,Male,english,
1790,default,24,Yes,N/A,Male,English,
1981,default,29,Yes,,Male,English,
1726,default,45,Yes,"The wording was strange, I am sure that is part of the experiment, though. ",Female,English,
1959,default,68,Yes,,Female,English,
1764,default,29,Yes,It went smooth,Male,English,
1733,default,46,Yes,,Male,english,
1763,default,31,Yes,,Female,English,
1846,default,49,Yes,,Female,English,
1963,default,39,Yes,Some of these statements definitely make me second guess myself.,Male,English,
1933,default,43,Yes,None,Female,English,
1932,default,36,Yes,No comments.,Male,English,
1958,default,40,Yes,,Male,English,
1908,default,40,No,No,Male,English,
1911,default,21,Yes,,Male,English ,
1829,default,36,Yes,It is a very interesting experimeny.,Male,English,
1903,default,26,Yes,"Sometimes I questioned the meaning of ""certain"" as it was used in some of the given sentences. I also wondered how people might interpret the sentences differently and how just reading the sentences and not being able to hear certain inflections made things less clear. For instance, there were sentences where someone would mention that someone else ""didn't prove"" something. I interpreted these sentences in this way: that something could be true or false, but either way, it just wasn't proven by that someone else. Therefore, I can't give a definitive answer as to how certain that someone is about that something being true. They could just be stating an objective fact that someone else didn't prove that something to be true. ",Female,"English, Mandarin",
1855,default,30,Yes,,Other,English,
1811,default,57,Yes,,Female,english,
1806,default,22,Yes,,Female,Englisj,
1888,default,34,Yes,,Male,English,
1882,default,32,Yes,The sentences were confusing,Female,English,
1898,default,26,Yes,,Female,English,
1792,default,30,Yes,,Female,english,
1852,default,24,Yes,,Female,English,
1872,default,28,Yes,,Male,English,
1769,default,32,Yes,NA,Female,English,
1936,default,35,Yes,,Male,english,
1787,default,42,Yes,,Female,English,
1732,default,21,Yes,,Female,English,
1840,default,26,Yes,N/A,Female,English,
1929,default,40,Yes,,Female,English,
1747,default,42,Yes,,Female,english,
1949,default,40,Yes,,Female,English,
1748,default,22,Yes,,Female,English,
1741,default,32,Yes,,Female,English,
1812,default,44,Yes,,Male,English,
1745,default,23,Yes,,Male,English,
1892,default,22,Yes,,Male,English,
1947,default,30,Yes,None,Other,English,
1934,default,63,Yes,"Thank you for interesting survey showing the uncertainty we all live as English speaking people versus other languages where you have to specify certain things are either correct or not within the sentence. Of course I was not asked and didn't say I have Dyslexia, which I overcome as best I can.  These were challenging and hopefully I didn't take too long to complete them!  But if you examine the sentences you see what Dyslexic people go through every day trying to ""figure out"" rapidly and accurately over and over what each person is really saying so that I can respond with a comment or answer or question that truly is responsive to what I just heard.  Hopefully I didn't go over the time limit else I'd write more here!  Good Luck with the experiment!  (would be nice if we got an ""instant score"" how many times we were ""correct"" or not with interpreting the sentences? Just a passing end thought!",Male,English,
1976,default,20,Yes,Survey was clear in instructing what to do.,Male,English,
1784,default,52,Yes,"This was not as easy as I thought, but I hope I did well enough",Male,English,
1968,default,25,Yes,,Male,English,
1916,default,24,Yes,,Female,English,
1928,default,25,Yes,"I feel like some of the questions could have gone either way, but that might be the point of this experiment ",Male,English,
1904,default,22,Yes,,Female,English,
1886,default,36,Yes,No comments. ,Male,English,
1927,default,26,Yes,,Male,English,
1834,default,23,Yes,,Female,English,
1737,default,27,Yes,,Female,English,
1816,default,29,Yes,It was an interesting study. I really enjoyed it. Thank you,Male,English,
1783,default,30,Yes,,Male,English,
1902,default,68,Yes,,Male,English,
1990,default,27,Yes,Thank you,Female,English,
1891,default,25,Yes,,Female,english,
1884,default,36,Yes,no comment,Male,english,
