workerid,proliferate.condition,age,american,comments,gender,language,error
3170,default,28,Yes,,Female,English,
3109,default,26,Yes,"I wasn't sure how ""good"" was defined in the first part, so I operated under the assumption that it meant ""makes sense.  Some clarification in verbiage there could be helpful!",Female,English,
3062,default,22,Yes,,Female,English,
3105,default,19,Yes,"No, thank you.",Female,English,
3173,default,22,Yes,,Female,English,
3092,default,18,Yes,,Female,English,
3213,default,20,Yes,none,Female,English,
3196,default,26,Yes,,Female,english,
3071,default,33,Yes,,Female,English,
3121,default,21,Yes,,Female,English,
3274,default,22,Yes,,Female,English,
3132,default,24,Yes,n/a,Female,English,
3169,default,21,Yes,,Female,English,
3113,default,22,Yes,,Female,english,
3208,default,21,Yes,,Female,English,
3250,default,25,Yes,,Female,English,
3154,default,20,Yes,,Female,english and japanese,
3099,default,18,Yes,,Female,English,
3269,default,21,Yes,,Female,English,
3106,default,22,Yes,,Female,English,
3158,default,19,Yes,,Female,English,
3276,default,50,Yes,,Female,English,
3243,default,29,Yes,I like this concept of a study,Female,english,
3077,default,26,Yes,,Female,english,
3291,default,52,Yes,,Female,English,
3238,default,24,Yes,,Female,English,
3219,default,26,Yes,,Female,English,
3096,default,19,Yes,,Female,english,
3266,default,20,Yes,Thank you for allowing me to complete this experiment!,Female,English,
3126,default,56,Yes,fun and confusing as the communication was weird,Female,English,
3187,default,25,Yes,,Other,English,
3075,default,21,Yes,,Female,English,
3067,default,22,Yes,,Female,English,
3150,default,20,Yes,,Female,English,
3229,default,18,Yes,,Other,English,
3278,default,25,Yes,,Female,English,
3221,default,22,Yes,n/a,Female,English,
3156,default,22,Yes,,Female,English,
3206,default,21,Yes,,Female,English,
3192,default,20,Yes,,Other,English,
3123,default,27,Yes,N/A,Male,English,
3231,default,20,Yes,,Female,English,
3247,default,22,Yes,,Female,English,
3103,default,20,Yes,,Female,English,
3310,default,18,Yes,,Male,English,
3303,default,22,Yes,,Female,english,
3120,default,22,Yes,I actually felt like the first speakers were the sentences that seemed odd. They didn't sound like natural sentences. Majority of the responses sounded better than what they were responding to. ,Female,English,
3283,default,23,Yes,,Female,english,
3177,default,24,Yes,,Female,English,
3179,default,19,Yes,,Male,English,
3164,default,20,Yes,,Female,English,
3252,default,31,Yes,,Female,English,
3211,default,19,Yes,,Female,English,
3292,default,21,Yes,,Female,English,
3159,default,20,Yes,,Female,english,
3153,default,19,Yes,N/A,Female,English,
3304,default,22,Yes,,Female,English,
3059,default,32,Yes,,Other,English,
3128,default,18,Yes,,Female,english,
3316,default,41,Yes,very good.,Male,English,
3104,default,30,Yes,none,Male,English,
3235,default,33,Yes,,Male,English,
3305,default,19,Yes,,Female,english,
3296,default,36,Yes,,Male,English,
3180,default,22,Yes,,Female,english,
3083,default,22,Yes,,Female,English,
3281,default,18,Yes,,Female,english,
3194,default,26,Yes,,Female,English,
3270,default,26,Yes,,Female,English,
3287,default,19,Yes,,Female,English,
3309,default,43,Yes,very smooth work. Nice.,Male,English,
3195,default,30,Yes,,Female,English ,
3188,default,21,Yes,,Female,English,
3290,default,27,Yes,,Female,English,
3184,default,18,Yes,,Female,english,
3175,default,22,Yes,,Female,English,
3273,default,32,Yes,,Female,"english, portuguese",
3312,default,30,Yes,it was interesting.,Female,English,
3197,default,19,Yes,,Female,English,
3223,default,38,Yes,,Female,English,
3171,default,32,Yes,,Female,English,
3209,default,33,Yes,,Female,English,
3108,default,2o,Yes,,Female,English,
3318,default,28,Yes,,Male,English,
3110,default,18,Yes,,Female,English,
3098,default,19,Yes,,Female,English,
3093,default,21,Yes,,Female,English,
3076,default,19,Yes,,Male,English,
3288,default,29,Yes,There were ways the questions were stated that didn't sound very normal or fluid. It was slightly hard to gauge how much the answer made sense relative to the question.,Female,English,
3198,default,29,Yes,,Female,english,
3239,default,19,Yes,I was a bit confused because I was expecting the responses in the second part to be from the people talked about in the first sentence. The sentences made sense but not completely because things weren't confirmed by the correct people. ,Female,English,
3230,default,40,Yes,,Female,English ,
3236,default,21,Yes,,Female,English,
3129,default,22,Yes,,Female,English,
3174,default,51,Yes,,Female,english,
3313,default,20,Yes,,Male,english,
3220,default,31,Yes,,Female,English,
3217,default,20,Yes,,Other,English,
3138,default,23,Yes,,Female,English,
3165,default,27,Yes,,Female,English,
3060,default,21,Yes,,Female,English,
3061,default,19,Yes,,Female,english,
3166,default,29,Yes,,Male,English,
3189,default,20,Yes,,Female,English,
3117,default,28,Yes,,Female,English,
3200,default,29,Yes,,Male,English,
3149,default,26,Yes,,Female,English,
3224,default,21,Yes,,Female,English,
3284,default,39,Yes,The repetition of this exercise muddied my thinking throughout. Suggestion to lower the number of items to be viewed unless that was the goal. ,Male,English,
3258,default,23,Yes,,Female,English,
3090,default,28,Yes,,Female,English,
3234,default,31,Yes,This is a nice study.,Male,English,
3162,default,24,Yes,,Female,English,
3181,default,24,Yes,,Female,english,
3068,default,25,Yes,,Female,English,
3163,default,23,Yes,,Female,English,
3058,default,19,Yes,,Female,English,
3186,default,18,Yes,,Female,English,
3300,default,29,Yes,,Male,English,
3063,default,26,Yes,,Female,English,
3311,default,23,Yes,,Female,English,
3127,default,19,Yes,,Female,English,
3302,default,22,Yes,"I wasn't positive I knew what it meant when the response was ""good"". Does good mean it felt positive or does good means it made since? ",Male,English,
3176,default,23,Yes,,Male,English,
3282,default,23,Yes,,Female,English ,
3257,default,22,Yes,,Female,English,
3070,default,38,Yes,,Female,English,
3152,default,19,Yes,none.,Female,English,
3102,default,24,Yes,Thank you!,Female,English,
3233,default,20,Yes,,Female,English,
3131,default,19,Yes,,Female,English,
3216,default,38,Yes,"All of the responses were a little odd...but, like, made sense overall (with the exception of a few that just sounded quite off).",Male,English,
3271,default,20,Yes,,Female,english,
3116,default,21,Yes,,Female,English,
3248,default,31,Yes,The sliding scale was a weird way to answer,Female,e,
3065,default,30,Yes,,Female,English,
3185,default,53,Yes,,Female,English,
3086,default,22,Yes,,Female,"English, Russian",
3081,default,28,Yes,"At first I could not figure out the point of this. But as I kept going on I realized that the little word choices (example. ""revealed"") were being rated on a scale for how certain the following statement would be.",Male,English,
3249,default,46,Yes,,Male,English,
3066,default,20,Yes,,Female,English,
3147,default,20,Yes,,Female,English,
3161,default,18,Yes,,Female,English,
3160,default,19,Yes,,Female,English,
3088,default,26,Yes,,Female,English ,
3293,default,23,Yes,,Female,English,
3072,default,25,Yes,,Female,english,
3246,default,22,Yes,,Female,english,
3254,default,21,Yes,,Female,English,
3069,default,19,Yes,,Female,English,
3141,default,20,Yes,,Female,ENGLISH,
3101,default,19,Yes,,Female,English ApNIAH,
3122,default,33,Yes,,Female,English,
3172,default,27,Yes,,Female,English,
3100,default,21,Yes,,Female,english,
3140,default,18,Yes,"I was a little bit confused by some of the questions because of the wording
",Female,english,
3193,default,20,Yes,,Female,English,
3124,default,22,Yes,,Female,English,
3218,default,30,Yes,,Male,English,
3097,default,21,Yes,,Female,English,
3079,default,20,Yes,,Female,English,
3308,default,24,Yes,,Male,English,
3244,default,27,Yes,,Female,English,
3074,default,26,Yes,,Female,English,
3253,default,19,Yes,,Female,english,
3146,default,22,Yes,,Female,English,
3133,default,23,Yes,,Female,english,
3285,default,23,Yes,NA,Female,English,
3280,default,22,Yes,,Female,English,
3207,default,20,Yes,,Female,English,
3134,default,22,Yes,,Female,English,
3114,default,20,Yes,,Female,English,
3294,default,32,Yes,,Female,English,
3237,default,20,Yes,,Female,English,
3145,default,25,Yes,,Female,English,
3315,default,29,Yes,,Female,english,
3078,default,24,Yes,none,Male,english,
3168,default,24,Yes,,Female,English,
3306,default,18,Yes,,Female,English,
3057,default,23,Yes,,Female,English,
3167,default,33,Yes,,Female,English,
3256,default,26,Yes,,Female,English,
3137,default,20,Yes,,Female,English,
3151,default,23,Yes,,Female,English,
3210,default,19,Yes,,Female,English,
3299,default,24,Yes,,Female,english,
3157,default,29,Yes,,Female,English,
3095,default,23,Yes,,Female,English,
3080,default,22,Yes,,Female,English,
3295,default,20,Yes,This was interesting. Thank you.,Female,English,
3091,default,25,Yes,"Shouldnt the responses be like ""Yeah thats true that he would be furious"" or is that the whole point",Female,english,
3125,default,22,Yes,,Male,English,
3225,default,21,Yes,,Female,English,
