response	task	participantID	age	gender	language	amE	comments	expression	cc	context	trial
0.29	target	2	30	male	English	AmE	"""":""""""""}	establish	Josh learned to ride a bike yesterday	factL	13
0.58	target	2	30	male	English	AmE	"""":""""""""}	suggest	Jackson ran 10 miles	explicitIgnorance	14
0.05	target	2	30	male	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance	15
0.73	target	2	30	male	English	AmE	"""":""""""""}	discover	Sophia got a tattoo	explicitIgnorance	16
0.84	target	2	30	male	English	AmE	"""":""""""""}	be right	Emma studied on Saturday morning	factH	17
0.03	target	2	30	male	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance	18
0.76	target	2	30	male	English	AmE	"""":""""""""}	see	Frank got a cat	explicitIgnorance	19
0.72	target	2	30	male	English	AmE	"""":""""""""}	controlGood3	noCC	other	20
0.76	target	2	30	male	English	AmE	"""":""""""""}	controlGood4	noCC	other	21
0.66	target	2	30	male	English	AmE	"""":""""""""}	pretend	Josie went on vacation to France	explicitIgnorance	22
0.88	target	2	30	male	English	AmE	"""":""""""""}	prove	Danny ate the last cupcake	factH	23
0.13	target	2	30	male	English	AmE	"""":""""""""}	inform	Tony had a drink last night	explicitIgnorance	24
0.85	target	2	30	male	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance	25
0.8	target	2	30	male	English	AmE	"""":""""""""}	know	Jon walks to work	explicitIgnorance	26
0.87	target	2	30	male	English	AmE	"""":""""""""}	think	Emily bought a car yesterday	explicitIgnorance	27
0.01	target	2	30	male	English	AmE	"""":""""""""}	confess	Mary is pregnant	factL	28
0.83	target	2	30	male	English	AmE	"""":""""""""}	reveal	Charley speaks Spanish	factH	29
0.84	target	2	30	male	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance	30
