workerid,proliferate.condition,age,american,comments,gender,language,error
2744,default,25,Yes,,Female,english,
2763,default,18,Yes,,Female,english,
2715,default,20,Yes,,Female,English,
2534,default,26,Yes,,Male,English,
2575,default,36,Yes,N/A,Female,English,
2672,default,32,Yes,,Female,English,
2774,default,25,Yes,,Female,English,
2706,default,23,Yes,,Female,english,
2650,default,27,Yes,,Male,english,
2674,default,20,Yes,,Female,"english, laos",
2533,default,19,Yes,,Male,,
2691,default,20,Yes,,Female,English,
2708,default,21,Yes,,Female,English,
2737,default,43,Yes,,Female,English,
2597,default,22,Yes,,Female,English,
2538,default,36,Yes,,Female,English,
2671,default,21,Yes,,Female,"English, Chinese",
2605,default,19,Yes,,Female,english,
2648,default,19,Yes,,Other,English,
2753,default,22,Yes,,Female,English,
2782,default,20,Yes,,Male,"English, French",
2772,default,23,Yes,,Female,English,
2791,default,23,Yes,,Female,English,
2618,default,21,Yes,,Female,English,
2768,default,21,Yes,Some of the questions in the second half were difficult to draw conclusions on because there was no context.,Female,english,
2634,default,25,Yes,,Female,English,
2611,default,24,Yes,,Male,english,
2603,default,19,Yes,,Male,Engllish,
2596,default,20,Yes,,Female,English,
2752,default,22,Yes,,Female,english,
2565,default,26,Yes,,Male,English,
2757,default,21,Yes,,Female,English,
2574,default,23,Yes,,Female,English,
2627,default,19,Yes,,Female,English,
2588,default,45,Yes,,Male,English,
2700,default,55,Yes,Fascinating-I felt some pressure trying work through these statements. Neat stuff. Thanks for the opportunity!,Female,English,
2602,default,23,Yes,,Female,English,
2593,default,20,Yes,,Female,English,
2680,default,26,Yes,,Female,English,
2632,default,21,Yes,,Female,English,
2743,default,20,Yes,,Female,"English, Spanish",
2707,default,24,Yes,,Female,English,
2594,default,22,Yes,,Female,English,
2655,default,21,Yes,,Female,English,
2589,default,18,Yes,,Female,English,
2582,default,18,Yes,,Male,English,
2746,default,24,Yes,,Male,English,
2738,default,32,Yes,,Female,english,
2694,default,50,Yes,"Thank you for giving me the survey. I am very please to work with you.
",Male,English,
2656,default,18,Yes,,Female,English,
2762,default,44,Yes,,Female,english,
2625,default,31,Yes,,Female,English,
2720,default,27,Yes,,Female,english,
2571,default,21,Yes,,Female,English,
2557,default,23,Yes,,Male,English,
2573,default,35,Yes,,Female,English,
2697,default,23,Yes,,Female,English,
2660,default,22,Yes,,Female,English,
2556,default,26,Yes,,Female,spanish,
2681,default,39,Yes,good study.,Male,English,
2713,default,27,Yes,I believe I thought too critical with this study so I apologize if answers seem inconsistent over time. I was trying my best. Thank you!,Female,English,
2621,default,25,,,Female,English,
2591,default,23,Yes,,Female,English,
2564,default,28,Yes,"The first part was confusing. What is considered a ""good"" answer?",Female,english,
2645,default,20,Yes,,Female,English,
2560,default,29,Yes,,Female,english,
2639,default,23,Yes,,Female,English,
2776,default,38,Yes,,Female,English,
2699,default,57,Yes,,Female,English,
2688,default,18,Yes,,Other,English,
2578,default,18,Yes,,Other,English,
2722,default,20,Yes,,Female,english,
2732,default,19,Yes,,Female,English,
2619,default,24,Yes,"This was a confusing study - the use of the negatives (didn't) were very awkward in the sentences, which seemed intentional. However, I couldn't figure out what that was being used to test for. Whatever it was, I hope your research goes well!
",Female,English,
2563,default,18,Yes,,Female,English,
2626,default,19,Yes,n/a,Female,english,
2568,default,25,Yes,,Female,English,
2615,default,21,Yes,,Female,English,
2689,default,20,Yes,"This hurt my brain, in a good way but I felt like I was missing something at times. ",Female,English,
2678,default,20,Yes,,Female,English,
2657,default,20,Yes,,Female,English,
2652,default,23,Yes,"The sentence structure for the second half of the experiment was awful, so for the majority of them I put that they did not sound good at all. They sounded awkward and confusing. ",Female,English,
2693,default,25,Yes,,Female,English,
2548,default,22,Yes,The wording really tripped me up. ,Female,English,
2740,default,31,Yes,"Couldn't tell if there were any questions in there checking if I was paying attention...none of them seemed to have a ""right"" answer??",Female,English,
